Submission ID,Respondent ID,Submitted at,Ваша основна зайнятість в ІТ зараз...,Оберіть ваш тайтл або роль у компанії,Categories,Position,Розробники -  основна спеціалізація,Якою мовою ви написали свою першу програму?,Основна мова програмування,"Скільки років ви працюєте з мовою, яку обрали як основну?","Чи використовуєте ви інші мови програмування, крім основної?","Оберіть інші мови програмування, які також використовуєте на поточній посаді",Які мови програмування ви б обрали зараз для наступного комерційного проєкту?,Чи комітили ви у 2024 році в опенсорс проєкти?,Якими мовами програмування ви комітили в опенсорс проєкти у 2024 році?,Чи є у вас власні опенсорс проєкти?,Якими мовами написаний ваш опенсорс проєкт?,Чи плануєте ви наступного року вивчити ще одну мову програмування?,Яку мову програмування ви плануєте вивчити наступного року?,"Основні фреймворки, бібліотеки та платформи: розробка","Основні фреймворки, бібліотеки та платформи: QA","Основні фреймворки, бібліотеки та платформи: Робота з даними",Ви плануєте освоїти наступну мову,"Платформи, для яких розробляєте на поточному місці роботи","Оберіть напрям, у якому зараз працюєте",Загальний стаж роботи за нинішньою ІТ-спеціальністю,Загальний стаж роботи в ІТ,,,,,,,,,,,,,,,,,,,,,,,
RqykNl,VDzMW6,2024-11-22 16:08:51,Працюю full-time,Senior,SE,Software Engineer / Software Developer,Back-end  розробка,Java,Java,6 років,Ні,,Scala,Ні,,Немає,,"Ні, наразі не маю таких планів",,Spring,,,,Mobile cross-platform,,6,6,,,,,,,,,,,,,,,,,,,,,,,
y85zVW,B0xQye,2024-11-22 16:09:09,Працюю full-time,Tech Lead,QA,General QA,,Basic,Python,10 і більше років,Так,TypeScript,Python,Ні,,Немає,,"Ні, наразі не маю таких планів",,,WebdriverIO,,,Web,web app,15,15,,,,,,,,,,,,,,,,,,,,,,,
r8MvxL,8MZPBl,2024-11-22 16:09:48,Працюю full-time,Middle,Other,Recruiter / Recruitment Specialist / Technical Recruiter,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,
5aPM6v,bvW8o6,2024-11-22 16:09:50,Працюю full-time,Lead/Team Lead,SE,Software Engineer / Software Developer,Full Stack розробка,Assembler,C# / .NET,10 і більше років,Так,"JavaScript, TypeScript, SQL",C# / .NET,Ні,,Немає,,"Ні, наразі не маю таких планів",,"ASP.NET,.NET,React,Next.js,jQuery",,,,Web,,10,15,,,,,,,,,,,,,,,,,,,,,,,
pYpvYb,Ok7JZk,2024-11-22 16:10:06,Працюю full-time,Middle,SE,Software Engineer / Software Developer,Embedded,C,C,4 роки,Так,"C++, C, C++, Python, P4","C, C++",Ні,,Немає,,Так,"P4, Python",,,,Самостійно,Microcontrollers / Embedded / IoT,,4,4,,,,,,,,,,,,,,,,,,,,,,,
4lVOkX,JMOk14,2024-11-22 16:10:16,Працюю full-time,Lead/Team Lead,Other,Customer Success Manager,,,,,,,,,,,,,,,,,,,,3,7,,,,,,,,,,,,,,,,,,,,,,,
QNl47G,xvJNxr,2024-11-22 16:10:26,Працюю full-time,Senior,SE,Software Engineer / Software Developer,Front-end  розробка,JavaScript,TypeScript,8 років,Ні,,TypeScript,Ні,,Немає,,"Ні, наразі не маю таких планів",,Angular / Angular.js,,,,Web,,8,8,,,,,,,,,,,,,,,,,,,,,,,
QNl4dp,Nd7BDQ,2024-11-22 16:11:10,Працюю full-time,Lead/Team Lead,QA,Manual QA,,,,,,,,,,,,,,,,,,,",windows desktop apps",4,4,,,,,,,,,,,,,,,,,,,,,,,
KrKkjM,W18MbL,2024-11-22 16:11:17,Працюю full-time,Middle,Project Management,Project Manager,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,
j8AzG6,Xz4B4O,2024-11-22 16:11:22,Працюю full-time,Middle,DevOps/SRE,Infrastructure Engineer,,Pascal,Не можу обрати одну основну мову,4 роки,Так,Bash,Python,Ні,,Немає,,"Ні, наразі не маю таких планів",,,,,,Web,,5,8,,,,,,,,,,,,,,,,,,,,,,,
L4Lk8O,ZD2zB5,2024-11-22 16:11:26,Працюю full-time,Senior,SE,Software Engineer / Software Developer,,JavaScript,C++,3 роки,Ні,,,Ні,,Немає,,"Ні, наразі не маю таких планів",,,,,,Desktop,,3,4,,,,,,,,,,,,,,,,,,,,,,,
4lVOyr,B0xbZ4,2024-11-22 16:11:53,Працюю full-time,Senior,QA,General QA,,,,,,,,,,,,,,,,,,,web app,7,7,,,,,,,,,,,,,,,,,,,,,,,
o8LzKX,ov2VG1,2024-11-22 16:12:28,Працюю full-time,Junior,Analyst,Marketing Data Analyst / Marketing Analyst,,Python,SQL,2 роки,Так,Python,SQL,Ні,,Немає,,"Ні, наразі не маю таких планів",,,,,,Web,,0.25,2,,,,,,,,,,,,,,,,,,,,,,,
PZJrXb,6MZQjB,2024-11-22 16:12:29,Працюю full-time,Senior,QA,Automation QA / AQA,,C++,C# / .NET,4 роки,Ні,,Python,Ні,,Немає,,"Ні, наразі не маю таких планів",,,"Selenium, NUnit",,,Web,web api,8,8,,,,,,,,,,,,,,,,,,,,,,,
WaVqbv,B0xbb1,2024-11-22 16:13:45,Працюю full-time,Middle,Project Management,Project Manager,,,,,,,,,,,,,,,,,,,,2,7,,,,,,,,,,,,,,,,,,,,,,,
4lVOYY,KkVBJD,2024-11-22 16:13:55,Втратив(-ла) роботу і шукаю нову,Middle,Project Management,Project Manager,,,,,,,,,,,,,,,,,,,,3,4,,,,,,,,,,,,,,,,,,,,,,,
l8kz5X,Xz4BGV,2024-11-22 16:14:33,Працюю full-time,Senior,SE,Software Engineer / Software Developer,Front-end  розробка,C++,TypeScript,4 роки,Так,JavaScript,TypeScript,Ні,,Немає,,"Ні, наразі не маю таких планів",,"Next.js,Node.js,React",,,,Web,,5,9,,,,,,,,,,,,,,,,,,,,,,,
g86z0O,VDz1Lg,2024-11-22 16:15:14,Працюю full-time,Senior,DevOps/SRE,DevOps Engineer,,C# / .NET,"Мови розробки БД (PL/SQL, Transact-SQL)",5 років,Так,JavaScript,TypeScript,Ні,,Немає,,Так,Go,,,,З допомогою професійних викладачів (курсів або індивідуальних занять),Web,,7,11,,,,,,,,,,,,,,,,,,,,,,,
PZJrb0,27KxPp,2024-11-22 16:15:44,Працюю full-time,Senior,SE,Software Engineer / Software Developer,Salesforce,C++,Salesforce Apex,7 років,Так,JavaScript,"Важко сказати, не знаю",Ні,,Немає,,"Ні, наразі не маю таких планів",,,,,,Web,,7,14,,,,,,,,,,,,,,,,,,,,,,,
PZJr1B,0aeJpj,2024-11-22 16:16:45,Працюю full-time,Немає тайтлу,Other,UI/UX Researcher,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
j8AzVa,0aejb9,2024-11-22 16:16:48,Працюю full-time,Middle,Analyst,Data Analyst,,Python,Python,5 років,Ні,,Python,Ні,,Немає,,"Ні, наразі не маю таких планів",,,,,,Mobile cross-platform,,2,2,,,,,,,,,,,,,,,,,,,,,,,
1QoR0l,ov2V7N,2024-11-22 16:16:54,Працюю full-time,Junior,SE,Software Engineer / Software Developer,Full Stack розробка,JavaScript,TypeScript,2 роки,Так,"Go, JavaScript, Мови розробки БД (PL/SQL, Transact-SQL)",TypeScript,Ні,,Немає,,"Ні, наразі не маю таких планів",,"Nest.js,Angular / Angular.js",,,,Web,,2,3,,,,,,,,,,,,,,,,,,,,,,,
1QoRQl,8MZppr,2024-11-22 16:17:02,Працюю full-time,Middle,SE,Software Engineer / Software Developer,Full Stack розробка,C,C# / .NET,5 років,Так,"TypeScript, Мови розробки БД (PL/SQL, Transact-SQL)",C# / .NET,Ні,,Немає,,"Ні, наразі не маю таких планів",,"Angular / Angular.js,ASP.NET,.NET",,,,Web,,6,6,,,,,,,,,,,,,,,,,,,,,,,
o8Lz8P,27KxxM,2024-11-22 16:17:58,Працюю full-time,Junior,Product Management,Product Manager,,,,,,,,,,,,,,,,,,,,2,4,,,,,,,,,,,,,,,,,,,,,,,
egWoMo,RkDB29,2024-11-22 16:18:20,Працюю full-time,Lead/Team Lead,QA,General QA,,,,,,,,,,,,,,,,,,,"web app,web api",6,6,,,,,,,,,,,,,,,,,,,,,,,
dJeRqy,G5RBbZ,2024-11-22 16:18:36,Працюю full-time,Middle,Other,BA (Business Analyst),,,,,,,,,,,,,,,,,,,,5,10,,,,,,,,,,,,,,,,,,,,,,,
Eo7a0r,8MZpDA,2024-11-22 16:19:05,Працюю full-time,Lead/Team Lead,Analyst,Product Analyst,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,
apql0b,kvNR8J,2024-11-22 16:20:21,Працюю full-time,Middle,SE,Software Engineer / Software Developer,Front-end  розробка,JavaScript,TypeScript,4 роки,Так,TypeScript,TypeScript,Ні,,Немає,,"Ні, наразі не маю таких планів",,"React,Shopify,Next.js",,,,Web,,4,4,,,,,,,,,,,,,,,,,,,,,,,
L4LOl1,Qk7BzX,2024-11-22 16:20:39,Працюю full-time,Middle,Analyst,Product Analyst,,Python,Python,3 роки,Ні,,Python,Ні,,Немає,,"Ні, наразі не маю таких планів",,,,,,,,3,4,,,,,,,,,,,,,,,,,,,,,,,
k8BrrJ,1692qb,2024-11-22 16:21:12,Працюю full-time,Middle,Project Management,Project Manager,,,,,,,,,,,,,,,,,,,,5,6,,,,,,,,,,,,,,,,,,,,,,,
4lVGkA,8MZpYA,2024-11-22 16:23:22,Працюю full-time,Junior,SE,Software Engineer / Software Developer,Back-end  розробка,Pascal,C# / .NET,1 рік,Ні,,C# / .NET,Ні,,Немає,,"Ні, наразі не маю таких планів",,".NET,ASP.NET,Blazor",,,,Desktop,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,
y857p6,vKP0jg,2024-11-22 16:24:02,Працюю full-time,Middle,SE,Software Engineer / Software Developer,Full Stack розробка,JavaScript,TypeScript,4 роки,Ні,,,Ні,,Немає,,Так,Python,"Express,React",,,Самостійно,Web,,4,4,,,,,,,,,,,,,,,,,,,,,,,
Eo7agL,DM7vlE,2024-11-22 16:26:37,Працюю full-time,Senior,SE,Software Engineer / Software Developer,Back-end  розробка,C,Java,6 років,Ні,,Java,Ні,,Немає,,"Ні, наразі не маю таких планів",,Spring,,,,Web,,6,6,,,,,,,,,,,,,,,,,,,,,,,
ZbrQA5,KkVPYX,2024-11-22 16:26:40,Працюю full-time,Junior,SE,Software Engineer / Software Developer,Back-end  розробка,Pascal,Go,Пів року,Так,"Java, SQL, Python, Мови розробки БД (PL/SQL, Transact-SQL)",Go,Так,Go,Є,Go,"Ні, наразі не маю таких планів",,,,,,Cloud,,1,1,,,,,,,,,,,,,,,,,,,,,,,
66EVbP,zL70Da,2024-11-22 16:27:00,Працюю full-time,Middle,SE,Software Engineer / Software Developer,Front-end  розробка,JavaScript,TypeScript,5 років,Ні,,TypeScript,Ні,,Немає,,"Ні, наразі не маю таких планів",,,,,,Web,,5,5,,,,,,,,,,,,,,,,,,,,,,,
k8BrMR,bvW2dg,2024-11-22 16:27:03,Працюю full-time,Senior,SE,Software Engineer / Software Developer,Full Stack розробка,C,PHP,8 років,Так,"Go, JavaScript, TypeScript",Go,Ні,,Немає,,"Ні, наразі не маю таких планів",,"Angular / Angular.js,Symfony",,,,Web,,10,10,,,,,,,,,,,,,,,,,,,,,,,
BJWeRQ,G5RBYe,2024-11-22 16:27:02,Працюю full-time,Middle,Analyst,Data Analyst,,R,Python,1 рік,Так,SQL,"Важко сказати, не знаю",Ні,,Немає,,"Ні, наразі не маю таких планів",,,,,,Не розробляю,,4,4,,,,,,,,,,,,,,,,,,,,,,,
77rEK0,yzJEKx,2024-11-22 16:27:52,Працюю full-time,Middle,QA,Manual QA,,,,,,,,,,,,,,,,,,,"backend,web app",5,5,,,,,,,,,,,,,,,,,,,,,,,
z85geg,G5RoYz,2024-11-22 16:30:13,Працюю full-time,Middle,SE,Software Engineer / Software Developer,Mobile розробка,C# / .NET,TypeScript,2 роки,Так,"JavaScript, Objective-C, Kotlin, Swift",TypeScript,Так,TypeScript,Немає,,Так,Swift,React Native,,,Самостійно,Mobile cross-platform,,2,2,,,,,,,,,,,,,,,,,,,,,,,
29GVdA,JMOVbo,2024-11-22 16:31:33,Працюю full-time,Middle,QA,Manual QA,,,,,,,,,,,,,,,,,,,web app,3,3,,,,,,,,,,,,,,,,,,,,,,,
o8Lx4P,6MZ12P,2024-11-22 16:32:09,Працюю full-time,Middle,SE,Software Engineer / Software Developer,Full Stack розробка,C# / .NET,C# / .NET,2 роки,Так,"TypeScript, JavaScript, Мови розробки БД (PL/SQL, Transact-SQL)",C# / .NET,Ні,,Немає,,"Ні, наразі не маю таких планів",,".NET,Vue.js,ASP.NET",,,,Web,,2,2,,,,,,,,,,,,,,,,,,,,,,,
PZJgX0,LkP57y,2024-11-22 16:36:28,Працюю full-time,Lead/Team Lead,Other,Content Manager / Content Marketing Manager,,,,,,,,,,,,,,,,,,,,7,7,,,,,,,,,,,,,,,,,,,,,,,
r8MgN2,MMErWY,2024-11-22 16:36:44,Працюю part-time,Junior,DS/ML/AI,ML Engineer,,C# / .NET,Python,4 роки,Ні,,Python,Ні,,Немає,,"Ні, наразі не маю таких планів",,,,"PyTorch, NumPy, Pandas, Matplotlib",,Microcontrollers / Embedded / IoT,,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,
q81gM2,Yk4ovJ,2024-11-22 16:38:52,Працюю part-time,Middle,SE,Software Engineer / Software Developer,Front-end  розробка,JavaScript,JavaScript,5 років,Так,TypeScript,"Важко сказати, не знаю",Ні,,Немає,,Так,Go,"Angular / Angular.js,Electron,Express,Node.js,WordPress",,,Самостійно,Web,,5,5,,,,,,,,,,,,,,,,,,,,,,,
GOAglo,rvo2yL,2024-11-22 16:39:58,Працюю full-time,Senior,SE,Software Engineer / Software Developer,Front-end  розробка,Pascal,JavaScript,7 років,Ні,,JavaScript,Ні,,Є,JavaScript,"Ні, наразі не маю таких планів",,"Angular / Angular.js,Vue.js,jQuery",,,,Web,,7,10,,,,,,,,,,,,,,,,,,,,,,,
GOAgap,av2ZEv,2024-11-22 16:41:46,Працюю full-time,Senior,SE,Software Engineer / Software Developer,Desktop,C,C# / .NET,5 років,Так,"JavaScript, Python, Мови розробки БД (PL/SQL, Transact-SQL), PowerShell",C# / .NET,Ні,,Немає,,"Ні, наразі не маю таких планів",,,,,,,,7,7,,,,,,,,,,,,,,,,,,,,,,,
g86pJP,jvlGQJ,2024-11-22 16:42:52,Працюю full-time,Tech Lead,SE,Software Engineer / Software Developer,Full Stack розробка,C++,C# / .NET,7 років,Так,"JavaScript, TypeScript, Мови розробки БД (PL/SQL, Transact-SQL), SQL",TypeScript,Ні,,Немає,,"Ні, наразі не маю таких планів",,"ASP.NET,Angular / Angular.js,Umbraco",,,,Web,,6,7,,,,,,,,,,,,,,,,,,,,,,,
0qRlgN,Nd78YB,2024-11-22 16:43:23,Працюю full-time,Senior,SE,Software Engineer / Software Developer,,Pascal,Python,4 роки,Ні,,Python,Ні,,Немає,,"Ні, наразі не маю таких планів",,,,,,Web,,4,5,,,,,,,,,,,,,,,,,,,,,,,
KrKOQA,qvRYd7,2024-11-22 16:44:06,Працюю full-time,Junior,DevOps/SRE,DevOps Engineer,,Delphi,Python,5 років,Ні,,Go,Ні,,Немає,,Так,Go,,,,Самостійно,Desktop,,4,8,,,,,,,,,,,,,,,,,,,,,,,
GOAypL,RkD8gQ,2024-11-22 16:44:53,Працюю full-time,Middle,SE,Software Engineer / Software Developer,Back-end  розробка,C# / .NET,C# / .NET,4 роки,Так,SQL,C# / .NET,Ні,,Немає,,"Ні, наразі не маю таких планів",,.NET,,,,Web,,4,4,,,,,,,,,,,,,,,,,,,,,,,
Eo7Axq,Ok7jLK,2024-11-22 16:47:07,Працюю full-time,Head,Analyst,Head of Analytics,,R,Python,5 років,Так,SQL,Python,Ні,,Немає,,"Ні, наразі не маю таких планів",,,,,,Web,,7,7,,,,,,,,,,,,,,,,,,,,,,,
DR6y6R,7MN1q9,2024-11-22 16:49:59,Працюю full-time,Junior,SE,Software Engineer / Software Developer,Back-end  розробка,Kotlin,Kotlin,1 рік,Ні,,Kotlin,Ні,,Немає,,"Ні, наразі не маю таких планів",,Spring,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
o8LQ1O,kvNOVM,2024-11-22 16:50:03,Працюю full-time,Middle,SE,Software Engineer / Software Developer,Mobile розробка,Python,Kotlin,4 роки,Ні,,Kotlin,Ні,,Немає,,Так,Elixir,Android SDK (Native),,,Самостійно,Mobile Android,,4,4,,,,,,,,,,,,,,,,,,,,,,,
N21QDN,4zKAkr,2024-11-22 16:57:07,Працюю full-time,Senior,SE,Software Engineer / Software Developer,Mobile розробка,Pascal,Kotlin,5 років,Так,Java,Kotlin,Так,Kotlin,Є,Kotlin,"Ні, наразі не маю таких планів",,"Android SDK (Native),Jetpack Compose,Other",,,,Mobile Android,,5,5,,,,,,,,,,,,,,,,,,,,,,,
L4LN6G,Pkzvkb,2024-11-22 16:58:41,Працюю full-time,Middle,SE,Software Engineer / Software Developer,Embedded,Pascal,C,4 роки,Так,"C++, Python",C,Ні,,Немає,,"Ні, наразі не маю таких планів",,,,,,Microcontrollers / Embedded / IoT,,4,4,,,,,,,,,,,,,,,,,,,,,,,
v8511X,xvJ4BJ,2024-11-22 16:59:06,Працюю full-time,Middle,SE,Software Engineer / Software Developer,Mobile розробка,JavaScript,Kotlin,5 років,Ні,,Kotlin,Ні,,Немає,,"Ні, наразі не маю таких планів",,"Android SDK (Native),Jetpack Compose",,,,Mobile Android,,5,5,,,,,,,,,,,,,,,,,,,,,,,
4lVD2d,8MZ61O,2024-11-22 17:04:11,Працюю full-time,Немає тайтлу,DevOps/SRE,DevOps Engineer,,Basic,Scala,1 рік,Так,Rust,Rust,Ні,,Немає,,"Ні, наразі не маю таких планів",,,,,,Web,,5,15,,,,,,,,,,,,,,,,,,,,,,,
QNlWAX,DM7AJZ,2024-11-22 17:06:21,Працюю full-time,Senior,SE,Software Engineer / Software Developer,Back-end  розробка,Pascal,C++,10 і більше років,Так,Python,Rust,Ні,,Немає,,"Ні, наразі не маю таких планів",,Boost,,,,Web,,8,9,,,,,,,,,,,,,,,,,,,,,,,
v85vd0,dv98dy,2024-11-22 17:06:50,Працюю full-time,Senior,Other,PPC Specialist,,,,,,,,,,,,,,,,,,,,8,8,,,,,,,,,,,,,,,,,,,,,,,
MjpQgX,MME6A0,2024-11-22 17:08:17,Працюю full-time,Немає тайтлу,Other,Recruiter / Recruitment Specialist / Technical Recruiter,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,
66Ez5e,PkzbEP,2024-11-22 17:08:38,Працюю full-time,Lead/Team Lead,DS/ML/AI,AI Engineer,,Python,Python,5 років,Ні,,Python,Ні,,Немає,,"Ні, наразі не маю таких планів",,,,", NumPy, Pandas, Scikit-learn",,Web,,5,5,,,,,,,,,,,,,,,,,,,,,,,
KrKNZM,Yk4Jdz,2024-11-22 17:09:44,Працюю full-time,Senior,SE,Software Engineer / Software Developer,Embedded,C++,C,5 років,Так,"Python, C++, Bash",C++,Ні,,Немає,,Так,Go,,,,Самостійно,Microcontrollers / Embedded / IoT,,5,6,,,,,,,,,,,,,,,,,,,,,,,
5aPo46,zL7Gga,2024-11-22 17:12:23,Працюю full-time,Principal,Project Management,Delivery Manager,,,,,,,,,,,,,,,,,,,,5,3,,,,,,,,,,,,,,,,,,,,,,,
GOAj7o,LkPab2,2024-11-22 17:13:11,Працюю full-time,Middle,SE,Software Engineer / Software Developer,Back-end  розробка,Java,TypeScript,4 роки,Так,Perl,TypeScript,Ні,,Немає,,Так,C++,"Nest.js,WordPress,Node.js",,,Самостійно,Web,,2,4,,,,,,,,,,,,,,,,,,,,,,,
77rOqZ,EMxZa4,2024-11-22 17:13:11,Працюю full-time,Senior,QA,Manual QA,,,,,,,,,,,,,,,,,,,"web app,web api,android mobile app,ios mobile app",10,10,,,,,,,,,,,,,,,,,,,,,,,
b1QXgZ,lv6YQX,2024-11-22 17:19:20,Працюю full-time,Middle,QA,Manual QA,,,,,,,,,,,,,,,,,,,web app,2,2,,,,,,,,,,,,,,,,,,,,,,,
egWGge,kvNkXR,2024-11-22 17:26:44,Працюю full-time,Senior,SE,Software Engineer / Software Developer,Front-end  розробка,Java,TypeScript,4 роки,Так,JavaScript,TypeScript,Ні,,Немає,,"Ні, наразі не маю таких планів",,React,,,,Web,,4,4,,,,,,,,,,,,,,,,,,,,,,,
g86gyD,6MZ1ge,2024-11-22 17:28:11,Працюю full-time,Senior,SE,Software Engineer / Software Developer,Back-end  розробка,Basic,Java,9 років,Ні,,Java,Ні,,Немає,,Так,Rust,"Spring,Hibernate",,,Самостійно,Mobile cross-platform,,9,15,,,,,,,,,,,,,,,,,,,,,,,
DR6O05,jvlvoJ,2024-11-22 17:34:02,Працюю part-time,Intern/Trainee,Other,Research Scientist,,JavaScript,Python,3 роки,Ні,,Python,Ні,,Немає,,"Ні, наразі не маю таких планів",,,,,,Desktop,,0.5,1,,,,,,,,,,,,,,,,,,,,,,,
o8LNLO,LkPkM1,2024-11-22 17:37:03,Працюю full-time,Middle,SE,Software Engineer / Software Developer,Mobile розробка,Java,Kotlin,5 років,Ні,,Kotlin,Ні,,Немає,,"Ні, наразі не маю таких планів",,"Kotlin Multiplatform,Android SDK (Native),Jetpack Compose",,,,Mobile Android,,4,4,,,,,,,,,,,,,,,,,,,,,,,
