"Timestamp","Якою мовою ви написали свою першу програму ?","Чи можете виділити одну мову програмування, якою ви користуєтеся найчастіше?","Якою мовою ви пишете для роботи зараз?","Frontend: які фреймворки використовуєте в роботі?","Frontend: які фреймворки використовуєте в роботі?  ","Backend: які фреймворки використовуєте в роботі?","Backend: які фреймворки використовуєте в роботі?","Mobile: які фреймворки використовуєте в роботі?","Mobile: які фреймворки використовуєте в роботі?"," Інші фреймворки/бібліотеки","Улюблене IDE","Web: які фреймворки використовуєте в роботі?","Web: які фреймворки використовуєте в роботі?","Фреймворки для Distributed computing","Distributed computing: інші фреймворки","Інші","Версія JVM","Улюблене IDE","Найважливі бібліотеки та фреймворки, котрі ви використовуєте (через кому)","Улюблене IDE","Web: які фреймворки використовуєте в роботі?","Web: які фреймворки використовуєте в роботі?","Обробка даних: які фреймворки використовуєте в роботі?","Чи використовуєте ви mypy?","Бібліотеки загального призначення","Улюблене IDE","Які відомі веб-фреймворки ви використовуєте?","Інші важливі бібліотеки, які використовуєте в роботі","Яку версію PHP  ви використовуєте ?","Улюблене  IDE","Якими мовами ви пишете для роботи зараз?","Які додаткові мови ви використовуєте для роботи?","Яку мову програмування ви б обрали зараз для наступного комерційного проєкту?","Чи є у вас проєкти з відкритим кодом?  Якщо є, то якими мовами?","Чи плануєте ви цього року вивчити ще одну мову програмування?","Якщо так, то що за мова це буде? ","Ви плануєте освоїти наступну мову","Ви працюєте здебільшого в царині:","Ваша платформа?","Скільки років ви працюєте в індустрії розробки ПЗ?","Скільки років ви працюєте з мовою, що вибрана вами в якості основної? ","Скільки вам років?","Ви живете зараз в Україні?","Чи брали ви участь у наших попередніх опитуваннях на цю ж тему?"
"2021/01/04 10:10:15 AM GMT+2","Java","Так","Java","","","","","","","","","","","Kafka","","","11.x","Intellij","","","","","","","","","","","","","","JavaScript","JavaScript","Java","Так","JavaScript","Самостійно","Веб-фронтенд","","7","6","32","Так","Ні"
"2021/01/04 10:10:20 AM GMT+2","JavaScript","Так","JavaScript","React","","Express","","React Native","","","Vs code","","","","","","","","","","","","","","","","","","","","","TypeScript","JavaScript","JavaScript","Ні","","За допомогою професійних викладачів (курсів або індивідуальних занять)","Веб-фронтенд","","2","2","26","Так","Ні"
"2021/01/04 10:10:32 AM GMT+2","1C","Так","C#","","","","","","","","","","","","","","","","","","","","","","","","","","","","","JavaScript;TypeScript;T-SQL","C#","","Ні","","","Бекенд програмування","","8","4","32","Так","Ні"
"2021/01/04 10:10:36 AM GMT+2","Java","Так","Python","","","","","","","","","","","","","","","","","","","-","","Ні","","pycharm","","","","","","JavaScript","Python","","Ні","Java","Самостійно","Бекенд програмування","","4","4","27","Так","Не пам'ятаю"
"2021/01/04 10:10:39 AM GMT+2","Python","Так","JavaScript","React","","Express","","","","","vs code","","","","","","","","","","","","","","","","","","","","","","Python","","Ні","","Самостійно","Веб-фронтенд","","2","2","30","Так","Ні"
"2021/01/04 10:10:55 AM GMT+2","Basic","Так","Ruby","","","","","","","","","","","","","","","","RoR","RibyMine","","","","","","","","","","","","JavaScript","Ruby","Ruby","Ні","Go","Самостійно","Бекенд програмування","","10","5","39","Так","Ні"
"2021/01/04 10:11:18 AM GMT+2","Java","Так","Java","","","","","","","","","Spring","","Kafka","","","11.x","IntelliJ IDEA","","","","","","","","","","","","","","TypeScript","Kotlin","","Ні","","","Бекенд програмування","","5","5","32","Так","Так"
"2021/01/04 10:11:29 AM GMT+2","C","Так","TypeScript","React","","NestJS","","","","","","","","","","","","","","","","","","","","","","","","","","JavaScript","TypeScript","JavaScript","Ні","","","Веб-фронтенд","","5","5","26","Так","Так"
"2021/01/04 10:11:32 AM GMT+2","Python","Так","PHP","","","","","","","","","","","","","","","","","","","","","","","","Symfony","","7.x","PHPSTORM","","JavaScript;Python","PHP","","Ні","","Самостійно","Бекенд програмування","","10","10","32","Так","Не пам'ятаю"
"2021/01/04 10:11:45 AM GMT+2","Basic","Так","PHP","","","","","","","","","","","","","","","","","","","","","","","","Laravel;slim","phinx","7.x","phpstorm","","JavaScript","PHP","","Так","Python","Самостійно","Бекенд програмування","","3","3","28","Так","Ні"
"2021/01/04 10:11:50 AM GMT+2","Basic","Так","Java","","","","","","","","","Spring","","Akka;Kafka","","","8.x","intellij idea","","","","","","","","","","","","","","JavaScript;Kotlin;Groovy","Kotlin","","Так","elixir","Самостійно","Бекенд програмування","","6","6","33","Так","Так"
"2021/01/04 10:11:52 AM GMT+2","Basic","Так","JavaScript","React","","Express","","","","","PHPStorm","","","","","","","","","","","","","","","","","","","","","PHP","JavaScript","","Так","Python","Самостійно","Бекенд програмування","","6","3","28","Так","Не пам'ятаю"
"2021/01/04 10:11:55 AM GMT+2","Pascal/Delphi","Так","PHP","","","","","","","","","","","","","","","","","","","","","","","","Symfony;Yii","","7.x","phpstorm","","JavaScript","PHP","PHP","Ні","","Самостійно","Бекенд програмування","","6","6","28","Так","Так"
"2021/01/04 10:11:57 AM GMT+2","Java","Так","Java","","","","","","","","","Spring","Selenium, rest assured","","","","8.x","intellij idea","","","","","","","","","","","","","","JavaScript;Groovy","Java","","Ні","","","Бекенд програмування","","2","2","25","Так","Ні"
"2021/01/04 10:12:02 AM GMT+2","Python","Так","Python","","","","","","","","","","","","","","","","","","","","PyTorch;NumPy;pandas","Ні","","PyCharm","","","","","","","Python","Python","Ні","","Самостійно","Обробка масивів даних","","1","1","22","Так","Ні"
"2021/01/04 10:12:10 AM GMT+2","C++","Так","Python","","","","","","","","","","","","","","","","","","Flask","","NumPy","Ні","Pytest","JetBrains","","","","","","","Python","C++","Так","C++","Самостійно","Бекенд програмування","","1","1","27","Так","Не пам'ятаю"
"2021/01/04 10:12:11 AM GMT+2","C#","Так","C#","","","","","","","","","","","","","","","",".Net Core, EF Core, Dapper, Moq, XUnit","Visual Studio 2019","","","","","","","","","","","","T-SQL","Go","JavaScript;C#","Так","Go","Самостійно","Бекенд програмування","","2","2","21","Так","Не пам'ятаю"
"2021/01/04 10:12:14 AM GMT+2","Java","Так","Kotlin","","","","","","","","","","","","","","","","","Android Studio","","","","","","","","","","","","JavaScript;Java","Kotlin","Java;Kotlin","Так","Swift","Самостійно","Мобільна розробка","Android","3","2","24","Так","Так"
"2021/01/04 10:12:16 AM GMT+2","Perl","Так","JavaScript","React","","Express;Next.js","","","","","VSCode","","","","","","","","","","","","","","","","","","","","","Python;TypeScript","TypeScript","JavaScript;TypeScript","Так","Rust","Самостійно","Веб-фронтенд","","17","17","35","Ні","Не пам'ятаю"
"2021/01/04 10:12:24 AM GMT+2","C++","Так","C#","","","","","","","","","","","","","","","","WPF, .NET 5, .NET Core, ASP.NET Core","VS Code","","","","","","","","","","","","Python;T-SQL","C#","C#;Python","Так","Python","Самостійно","Бекенд програмування","","3","6","24","Так","Не пам'ятаю"
"2021/01/04 10:12:28 AM GMT+2","C++","Так","TypeScript","Angular","","","","","","","IntellijIdea","","","","","","","","","","","","","","","","","","","","","Java","TypeScript","","Так","JavaScript","Самостійно","Веб-фронтенд","","0.5","0.5","21","Так","Не пам'ятаю"
"2021/01/04 10:12:29 AM GMT+2","Pascal/Delphi","Так","Java","","","","","","","","","Spring","","","","","8.x","IntellijIdea","","","","","","","","","","","","","","JavaScript;TypeScript;Scala","Java","","Ні","","","Бекенд програмування","","9","9","34","Так","Так"
"2021/01/04 10:12:34 AM GMT+2","Pascal/Delphi","Так","PHP","","","","","","","","","","","","","","","","","","","","","","","","Laravel;Symfony","Doctrine, Monolog","7.x","PHPStorm","","JavaScript","PHP","PHP","Так","Go","Самостійно","Бекенд програмування","","5","5","28","Так","Так"
"2021/01/04 10:12:46 AM GMT+2","Basic","Так","C#","","","","","","","","","","","","","","","",".NET Core","Visual Studio","","","","","","","","","","","","JavaScript;TypeScript;Go;T-SQL;PL-SQL","Go","C#;Go","Так","Go","Самостійно","Бекенд програмування","","17","12","43","Так","Не пам'ятаю"
"2021/01/04 10:12:49 AM GMT+2","Pascal/Delphi","Ні","","","","","","","","","","","","","","","","","Akka, Spring","Intellij","","","","","","","","","","","C#;Python;Kotlin;Scala","","Scala","","Так","Haskell","Самостійно","Бекенд програмування","","16","12","40","Так","Так"
"2021/01/04 10:12:52 AM GMT+2","Pascal/Delphi","Так","Python","","","","","","","","","","","","","","","","","","Django","FastAPI, django-ninja","NumPy;pandas","Так","","VSCode","","","","","","JavaScript;TypeScript;Go","Python","","Ні","","Самостійно","Бекенд програмування","","17","12","35","Так","Так"
"2021/01/04 10:13:00 AM GMT+2","JavaScript","Так","JavaScript","Angular","","Express","","React Native;Cordova","","","Webstorm","","","","","","","","","","","","","","","","","","","","","C#","JavaScript","","Так","","Самостійно","Веб-фронтенд","","1","1","23","Так","Ні"
"2021/01/04 10:13:01 AM GMT+2","Pascal/Delphi","Так","Java","","","","","","","","","","","","","","8.x","Intellij","","","","","","","","","","","","","","Scala","Scala","Java;C#","Так","Scala","За допомогою професійних викладачів (курсів або індивідуальних занять)","Бекенд програмування","","2","1","23","Так","Не пам'ятаю"
"2021/01/04 10:13:02 AM GMT+2","Java","Так","Python","","","","","","","","","","","","","","","","","","","","NumPy;pandas","Ні","","","","","","","","","Python","","Так","JavaScript","Самостійно","Обробка масивів даних","","","2","23","Так","Ні"
"2021/01/04 10:13:06 AM GMT+2","C++","Так","JavaScript","React;jQuery","","","","","","","Visual Studio Code","","","","","","","","","","","","","","","","","","","","","JavaScript;PHP","JavaScript","","Так","React","Самостійно","Веб-фронтенд","","1.5","1","23","Так","Ні"
"2021/01/04 10:13:07 AM GMT+2","C#","Так","C#","","","","","","","","","","","","","","","","ASP.NET","Visual Studio","","","","","","","","","","","","JavaScript","C#","C#;Python;TypeScript","Так","TypeScript","Самостійно","Бекенд програмування","","3","3","24","Так","Не пам'ятаю"
"2021/01/04 10:13:24 AM GMT+2","Basic","Так","Go","","","","","","","","","","","","","","","","http, errors","goland","","","","","","","","","","","","Go","Go","Go","Так","Dart","Самостійно","Бекенд програмування","","6","2","30","Так","Так"
"2021/01/04 10:13:26 AM GMT+2","Python","Так","Groovy","","","","","","","","","","","","","","","","Spring, Grails, Hibernate","Intellij IDEA","","","","","","","","","","","","Java","Java","Java","Ні","","","Бекенд програмування","","1","2","20","Так","Ні"
"2021/01/04 10:13:33 AM GMT+2","Pascal/Delphi","Ні","","","","","","","","","","","","","","","","","React, Django","PyCharm","","","","","","","","","","","JavaScript;Python;T-SQL","","Python","","Так","R","За допомогою професійних викладачів (курсів або індивідуальних занять)","Бекенд програмування","","0","0.5","23","Так","Ні"
"2021/01/04 10:13:33 AM GMT+2","C++","Так","JavaScript","React;jQuery","","Express","","React Native","","","VSCode","","","","","","","","","","","","","","","","","","","","","TypeScript","TypeScript","JavaScript","Так","Java","За допомогою професійних викладачів (курсів або індивідуальних занять)","Веб-фронтенд","","1.5","1.5","29","Так","Ні"
"2021/01/04 10:13:35 AM GMT+2","C++","Так","Kotlin","","","","","","","","","","","","","","","","Android SDK","IntelliJ IDEA","","","","","","","","","","","","Java;C#","Kotlin","Kotlin;Dart","Так","Haskell","Самостійно","Мобільна розробка","Android","8","3","28","Так","Так"
"2021/01/04 10:13:37 AM GMT+2","Java","Так","Groovy","","","","","","","","","","","","","","","","Grails, Vue.js","IntelliJ IDEA","","","","","","","","","","","","JavaScript;Java","Groovy","","Так","JavaScript","Самостійно","Бекенд програмування","","5","5","34","Так","Ні"
"2021/01/04 10:13:38 AM GMT+2","JavaScript","Так","PHP","","","","","","","","","","","","","","","","","","","","","","","","Laravel;Symfony","","7.x","Phpstorm","","JavaScript","PHP","PHP","Так","C#","За допомогою професійних викладачів (курсів або індивідуальних занять)","Бекенд програмування","","","3.5","23","Так","Так"
"2021/01/04 10:13:45 AM GMT+2","Python","Так","Python","","","","","","","","","","","","","","","","","","Django;Flask","","","Ні","","Pycharm","","","","","","JavaScript","Python","","Ні","JavaScript","Самостійно","Бекенд програмування","","3","3","32","Так","Так"
"2021/01/04 10:13:52 AM GMT+2","C","Так","PHP","","","","","","","","","","","","","","","","","","","","","","","","Symfony","","7.x","PHPStorm","","JavaScript;Go","PHP","","Так","Scala","Самостійно","Бекенд програмування","","7","6","40","Так","Так"
"2021/01/04 10:13:54 AM GMT+2","JavaScript","Так","JavaScript","React;Vue.js","","","","","","","phpstorm","","","","","","","","","","","","","","","","","","","","","PHP;TypeScript","JavaScript","","Ні","","Самостійно","Веб-фронтенд","","0.5","1","28","Так","Ні"
"2021/01/04 10:13:55 AM GMT+2","Python","Так","Java","","","","","","","","","Spring","","","","","8.x","Idea","","","","","","","","","","","","","","JavaScript;TypeScript","","Java;Python","Ні","","Самостійно","Бекенд програмування","","1.5","2.5","22","Так","Так"
"2021/01/04 10:14:00 AM GMT+2","C++","Так","C#","","","","","","","","","","","","","","","",".NET Core","JetBrains Rider","","","","","","","","","","","","JavaScript;T-SQL;Bash","C#","","Так","Go","Самостійно","Бекенд програмування","","4","4","24","Так","Так"
"2021/01/04 10:14:05 AM GMT+2","JavaScript","Так","JavaScript","React","","Express;NestJS","","React Native","","","Vs code","","","","","","","","","","","","","","","","","","","","","TypeScript","JavaScript","JavaScript;TypeScript","Ні","","Самостійно","Веб-фронтенд","","3","3","26","Так","Ні"
"2021/01/04 10:14:06 AM GMT+2","Pascal/Delphi","Так","Scala","","","","","","","","","","","","","","","","","Idea","","","","","","","","","","","","Python","Scala","Scala","Так","Rust","Самостійно","Обробка масивів даних","","10","3","35","Так","Ні"
"2021/01/04 10:14:11 AM GMT+2","Basic","Так","C++","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Python","C++","","Так","Python","Самостійно","Десктоп-розробка","","","","","Так","Ні"
"2021/01/04 10:14:18 AM GMT+2","Python","Так","TypeScript","React","","Express;Next.js","","","","","PHPStorm","","","","","","","","","","","","","","","","","","","","","JavaScript","TypeScript","JavaScript;TypeScript","Ні","","","Веб-фронтенд","","2.5","2.5","22","Так","Так"
"2021/01/04 10:14:26 AM GMT+2","C++","Так","Java","","","","","","","","","","AWS SAM","","","","11.x","IntelliJ IDEA","","","","","","","","","","","","","","Python;Go","Go","Java;Go","Так","Go","Самостійно","Бекенд програмування","","15","15","38","Так","Так"
"2021/01/04 10:14:26 AM GMT+2","C","Так","C#","","","","","","","","","","","","","","","","EntityFramework, Azure","VS Studio, VS Code, Notepad++","","","","","","","","","","","","JavaScript","C#","","Так","Swift","За допомогою колег","Бекенд програмування","","2","1","25","Так","Так"
"2021/01/04 10:14:33 AM GMT+2","Asm","Так","Java","","","","","","","","","","RichFaces","","","","8.x","Eclipse","","","","","","","","","","","","","","JavaScript;PL-SQL","Java","","Ні","","","Десктоп-розробка","","13","13","37","Так","Так"
"2021/01/04 10:14:34 AM GMT+2","Basic","Ні","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Swift;Kotlin","Java;Swift;Kotlin","Kotlin","Java;Kotlin","Ні","","","Мобільна розробка","Both","4","2","","","Так"
"2021/01/04 10:14:36 AM GMT+2","JavaScript","Так","JavaScript","React","","","","","","","","","","","","","","","","","","","","","","","","","","","","TypeScript","TypeScript","","Ні","","","Веб-фронтенд","","0.5","0.5","34","Так","Ні"
"2021/01/04 10:14:37 AM GMT+2","PHP","Так","TypeScript","Angular;React","","Express;Next.js","","React Native;Cordova","","","VS code","","","","","","","","","","","","","","","","","","","","","JavaScript;PHP","TypeScript","","Так","Go","Самостійно","Веб-фронтенд","","5","4","28","Так","Так"
"2021/01/04 10:14:39 AM GMT+2","PHP","Так","JavaScript","","","Express","","","","","PhpStorm","","","","","","","","","","","","","","","","","","","","","PHP","","","Так","Python","Самостійно","Бекенд програмування","","3","0.5","31","Так","Так"
"2021/01/04 10:14:41 AM GMT+2","PHP","Так","TypeScript","React","","Express","","React Native","","","","","","","","","","","","","","","","","","","","","","","","JavaScript;PHP","TypeScript","","Так","Go","Самостійно","Бекенд програмування","","2","0.1","23","Так","Ні"
"2021/01/04 10:14:54 AM GMT+2","Basic","Так","PHP","","","","","","","","","","","","","","","","","","","","","","","","Symfony;Yii","graphql, amqp","7.x","PhpStorm","","JavaScript;T-SQL","PHP","PHP;TypeScript","Так","TypeScript","Самостійно","Бекенд програмування","","5","5","33","Так","Так"
"2021/01/04 10:14:59 AM GMT+2","Basic","Так","PHP","","","","","","","","","","","","","","","","","","","","","","","","Yii","","7.x","PhpStorm","","JavaScript;Go;Sql","C#","","Так","Java","Самостійно","Бекенд програмування","","18","16","39","Так","Так"
"2021/01/04 10:15:04 AM GMT+2","Java","Так","Scala","","","","","","","","","","","","","","","","Spark,Hadoop,Delta.io","Intellij IDEA","","","","","","","","","","","","Java;Python","Scala","Java","Так","Python","Самостійно","Обробка масивів даних","","1","1","31","Так","Ні"
"2021/01/04 10:15:12 AM GMT+2","Pascal/Delphi","Так","PHP","","","","","","","","","","","","","","","","","","","","","","","","Laravel;Symfony","","7.x","PhpStorm","","JavaScript","PHP","","Ні","","За допомогою професійних викладачів (курсів або індивідуальних занять)","Бекенд програмування","","10","5","31","Так","Так"
"2021/01/04 10:15:37 AM GMT+2","Swift","Так","Rust","","","","","","","","","","","","","","","","Foundation, Uikit","Xcode ","","","","","","","","","","","","C++;Swift","Swift","Swift;C","Так","Swift","Самостійно","Мобільна розробка","iOS","2","2","21","Так","Так"
"2021/01/04 10:15:41 AM GMT+2","Pascal/Delphi","Так","R","","","","","","","","","","","","","","","","tidyverse, shiny, rmarkdown, devtools, testthat","Neovim","","","","","","","","","","","","Python;T-SQL","Python","Python;R","Так","Julia","Самостійно","Обробка масивів даних","","7","7","29","Так","Ні"
"2021/01/04 10:15:45 AM GMT+2","JavaScript","Так","C#","","","","","","","","","","","","","","","","","","","","","","","","","","","","","JavaScript;TypeScript;T-SQL","C#","","Так","Swift","Самостійно","Бекенд програмування","","3","3","21","Так","Не пам'ятаю"
"2021/01/04 10:15:58 AM GMT+2","Pascal/Delphi","Так","Python","","","","","","","","","","","","","","","","","","","","pandas","","","Colab","","","","","","","Python","Python;C++;C","Ні","","","Обробка масивів даних","","2","2","21","Так","Так"
"2021/01/04 10:15:59 AM GMT+2","Python","Так","Python","","","","","","","","","","","","","","","","","","Flask","","","Так","","PyCharm","","","","","","","Python","Python","Так","JavaScript","Самостійно","Бекенд програмування","","5","4","33","Так","Так"
"2021/01/04 10:16:03 AM GMT+2","Java","Так","JavaScript","Svelte","","","","React Native","","","Vscode","","","","","","","","","","","","","","","","","","","","","","TypeScript","","Ні","","Самостійно","Веб-фронтенд","","1","1","34","Так","Так"
"2021/01/04 10:16:12 AM GMT+2","Basic","Так","Kotlin","","","","","","","","","","","","","","","","RxJava, Dagger 2","Android Studio","","","","","","","","","","","","Java","Kotlin","","Ні","","","Мобільна розробка","Android","8","2","27","Так","Так"
"2021/01/04 10:16:14 AM GMT+2","Pascal/Delphi","Так","Kotlin","","","","","","","","","","","","","","","","","intellij idea","","","","","","","","","","","","Java","Kotlin","","Ні","Dart","Самостійно","Мобільна розробка","Android","5","2","27","Так","Так"
"2021/01/04 10:16:27 AM GMT+2","C","Так","C++","","","","","","","","","","","","","","","","Unreal Engine","Visual Studio","","","","","","","","","","","","C#","C++","","Так","JavaScript","Самостійно","Десктоп-розробка","","2","1.5","23","Ні","Ні"
"2021/01/04 10:16:29 AM GMT+2","C#","Так","Swift","","","","","","","","","","","","","","","","","Xcode","","","","","","","","","","","","Objective-C","Swift","","Так","SwiftUI","Самостійно","Мобільна розробка","iOS","8","4","34","Так","Ні"
"2021/01/04 10:16:33 AM GMT+2","Python","Так","C#","","","","","","","","","","","","","","","","Newtonsoft.Json","Visual Studio","","","","","","","","","","","","Swift","C#","C#","Так","Swift","Самостійно","Мобільна розробка","iOS","8","8","27","Так","Так"
"2021/01/04 10:16:39 AM GMT+2","Pascal/Delphi","Так","Python","","","","","","","","","","","","","","","","","","Flask","FastAPI","pandas","Ні","","PyCharm","","","","","","JavaScript","Python","","Ні","","Самостійно","Бекенд програмування","","2","2","23","Так","Ні"
"2021/01/04 10:16:41 AM GMT+2","JavaScript","Так","JavaScript","React","","","AdonisJs","React Native","","","VS Code","","","","","","","","","","","","","","","","","","","","","TypeScript","TypeScript","JavaScript;PHP;TypeScript","Так","Go","За допомогою професійних викладачів (курсів або індивідуальних занять)","Бекенд програмування","","3","1.5","25","Так","Не пам'ятаю"
"2021/01/04 10:16:58 AM GMT+2","C","Так","TypeScript","React","","Express;Next.js","","","Flutter","polkadot-js, bn.js","VS code","","","","","","","","","","","","","","","","","","","","","JavaScript;Dart;T-SQL;Rust","Dart","JavaScript;C#;C++;TypeScript;Dart","Так","Dart","Самостійно","Веб-фронтенд","","3","2","20","Так","Так"
"2021/01/04 10:17:03 AM GMT+2","Basic","Так","C#","","","","","","","","","","","","","","","","wpf","android studio","","","","","","","","","","","","T-SQL;PL-SQL","C#","Java;C","Так","Python","Самостійно","Десктоп-розробка","","18","10","41","Так","Так"
"2021/01/04 10:17:15 AM GMT+2","Pascal/Delphi","Так","JavaScript","React;Vue.js","","","","","","","VS Code","","","","","","","","","","","","","","","","","","","","","PHP;TypeScript","JavaScript","","Так","Python","Самостійно","Веб-фронтенд","","10","6","28","Так","Не пам'ятаю"
"2021/01/04 10:17:15 AM GMT+2","Java","Так","Dart","","","","","","","","","","","","","","","","Flutter, Android, iOS","Android Studio","","","","","","","","","","","","TypeScript;Swift;Kotlin","Dart","Java","Так","Swift","Самостійно","Мобільна розробка","Використовую кросплатформ фреймворк","1","0.5","24","Так","Так"
"2021/01/04 10:17:34 AM GMT+2","C#","Ні","","","","","","","","","","","","","","","","","Lodash, Material","WebStorm","","","","","","","","","","","JavaScript;C#;TypeScript;PL-SQL","JavaScript","TypeScript","","Ні","","Самостійно","Веб-фронтенд","","4","1","33","Ні","Так"
"2021/01/04 10:17:42 AM GMT+2","C","Так","Java","","","","","","","","","","","Kafka","","","11.x","","","","","","","","","","","","","","","JavaScript;Ruby","Python","","Так","Python","Самостійно","Бекенд програмування","","4","3","25","Так","Так"
"2021/01/04 10:17:44 AM GMT+2","Pascal/Delphi","Так","Java","","","","","","","","","Spring","","","","Hibernate, Flyway, Spock","11.x","Intellij IDEA","","","","","","","","","","","","","","Groovy","Java","Java","Так","Kotlin","Самостійно","Бекенд програмування","","4","4","34","Ні","Не пам'ятаю"
