Timestamp,FirstLanguage,MainLanguage,NowLanguage,NowLanguages2,AdditionalLanguages1,NextLanguage,PetProjectsLanguages,Learn,LearnLanguage,LearnWay,ExperienceInProgrammingYears,ExperienceInLanguageYears,AgeYears,InUA,InPrev
1/8/2020 10:13:33,PHP,Так,JavaScript,,TypeScript,JavaScript,,Ні,,Книги та документацію,3,2,34,Так,Ні
1/8/2020 10:14:00,Pascal,Так,JavaScript,,"Unix Shell, TypeScript",JavaScript,JavaScript,Так,Python,Книги та документацію,1,1,32,Так,Ні
1/8/2020 10:14:02,C++,Так,C#,,"JavaScript, T-SQL",C#,,Так,TypeScript,Онлайн-курси,2,2,20,Так,Так
1/8/2020 10:14:09,Pascal/Delphi,Так,JavaScript,,,TypeScript,Rust,Так,Rust,Книги та документацію,1,1,29,Так,Ні
1/8/2020 10:14:09,Python,Так,Python,,"Unix Shell, T-SQL, R",Python,,Ні,,Онлайн-курси,3,3,22,Так,Не пам'ятаю
1/8/2020 10:14:24,Basic,Так,C++,,"Python, Unix Shell, C",C++,,Ні,,,5,5,29,Так,Так
1/8/2020 10:14:27,Basic,Так,Python,,"JavaScript, Unix Shell",Python,Python,Так,Go,Книги та документацію,10,6,32,Так,Ні
1/8/2020 10:14:34,Python,Так,Python,,Unix Shell,Python,"JavaScript, Python",Ні,JavaScript,Книги та документацію,3,3,28,Так,Ні
1/8/2020 10:14:42,C++,Так,TypeScript,,"JavaScript, TypeScript",TypeScript,"JavaScript, TypeScript",Ні,Python,Книги та документацію,1,1,23,Так,Ні
1/8/2020 10:14:42,PHP,Так,C#,,"JavaScript, Python, TypeScript",C#,"C#, C++, TypeScript",Ні,,Книги та документацію,1.5,1.5,19,Так,Ні
1/8/2020 10:14:56,Pascal/Delphi,Так,Java,,,Java,"Java, JavaScript, TypeScript, Scala",Ні,,Книги та документацію,1.5,4,22,Так,Так
1/8/2020 10:14:57,C,Так,C++,,"Python, Unix Shell, C#, C",C++,C#,Так,Haskell,Книги та документацію,8,6,29,Так,Не пам'ятаю
1/8/2020 10:14:58,Java,Так,C#,,TypeScript,C#,"C#, TypeScript",Ні,,Онлайн-курси,3,3,35,Ні,Ні
1/8/2020 10:14:58,PHP,Так,C,,"Java, C++",C++,"C++, C",Так,C++,Книги та документацію,3,3,24,Так,Не пам'ятаю
1/8/2020 10:15:01,Basic,Так,Python,,Unix Shell,Python,,Ні,,Книги та документацію,13,7,34,Так,Так
1/8/2020 10:15:07,C,Ні,,"Java, Swift, Kotlin, Objective-C",,Kotlin,Kotlin,Ні,,Книги та документацію,4,4,22,Так,Не пам'ятаю
1/8/2020 10:15:21,C++,Так,JavaScript,,"TypeScript, Java, Objective-C",JavaScript,,Так,Python,Книги та документацію,4,3,21,Так,Ні
1/8/2020 10:15:26,Pascal/Delphi,Так,TypeScript,,"JavaScript, Python",Go,"JavaScript, TypeScript",Ні,,Книги та документацію,2,4,21,Так,Так
1/8/2020 10:15:27,C++,Так,C#,,"JavaScript, T-SQL",C#,C#,Ні,,Книги та документацію,2,1,31,Так,Ні
1/8/2020 10:15:32,С#,Так,C#,,"JavaScript, Powershell, Groovy",C#,"JavaScript, C#, T-SQL",Так,JavaScript,Онлайн-курси,6,5,31,Так,Так
1/8/2020 10:15:36,C++,Так,Java,,"JavaScript, Python, TypeScript, Kotlin",Java,"Java, Dart",Ні,,Книги та документацію,2,2,25,Так,Не пам'ятаю
1/8/2020 10:16:02,Pascal/Delphi,Так,Swift,,"C++, C#, C, Objective-C, Swift",Swift,"C#, Swift",Ні,Swift,Книги та документацію,1,2,19,Так,Ні
1/8/2020 10:16:07,Python,Так,Python,,"JavaScript, Java, C#, C, Objective-C",JavaScript,"JavaScript, Python",Так,C#,Онлайн-курси,2,2,36,Так,Ні
1/8/2020 10:16:14,Pascal/Delphi,Так,C#,,T-SQL,C#,,Так,TypeScript,Онлайн-курси,11,11,33,Так,Так
1/8/2020 10:16:24,Pascal/Delphi,Так,PHP,,"JavaScript, PHP, Go",Go,PHP,Так,Swift,Онлайн-курси,15,8,35,Так,Не пам'ятаю
1/8/2020 10:16:33,Pascal/Delphi,Так,Java,,"JavaScript, T-SQL",Kotlin,,Ні,,Онлайн-курси,12,11,34,Так,Ні
1/8/2020 10:16:39,С#,Так,Java,,"Unix Shell, Groovy",Java,,Ні,,Онлайн-курси,4,4,27,Ні,Не пам'ятаю
1/8/2020 10:16:44,JavaScript,Так,JavaScript,,JavaScript,Python,,Ні,,Онлайн-курси,1,1,31,Так,Ні
1/8/2020 10:16:55,С#,Так,C#,,TypeScript,C#,C#,Ні,,Книги та документацію,4,4,27,Так,Ні
1/8/2020 10:17:03,Basic,Так,Erlang,,Python,Erlang,,Так,JavaScript,Книги та документацію,2,2,36,Так,Ні
1/8/2020 10:17:30,Java,Так,Ruby,,"JavaScript, Unix Shell, Java, T-SQL, Go",Go,"Ruby, Go",Так,Rust,Книги та документацію,8,5,35,Так,Так
1/8/2020 10:17:45,Java,Так,Python,,Unix Shell,Python,Python,Ні,,Онлайн-курси,1,1,28,Так,Ні
1/8/2020 10:17:53,Java,Так,Kotlin,,"TypeScript, Java, Swift",Kotlin,"Swift, Kotlin",,,Книги та документацію,5,2,37,Так,Ні
1/8/2020 10:17:56,C++,Так,PHP,,JavaScript,Java,"PHP, C++",Ні,,Книги та документацію,1,1,20,Так,Ні
1/8/2020 10:18:01,С#,Так,Java,,,Java,,Ні,,Книги та документацію,4,4,25,Так,Так
1/8/2020 10:18:18,Java,Так,JavaScript,,,JavaScript,,Ні,,Офлайн-курси,1,1,25,Так,Ні
1/8/2020 10:18:32,JavaScript,Так,JavaScript,,JavaScript,JavaScript,JavaScript,Ні,,,5,3,36,Так,Так
1/8/2020 10:18:32,C,Так,Python,,"C++, C#, C",C#,Python,Ні,,Книги та документацію,7,3,43,Так,Ні
1/8/2020 10:18:47,Python,Ні,,Python,JavaScript,JavaScript,Python,Ні,TypeScript,Онлайн-курси,0,1,39,Так,Ні
1/8/2020 10:18:50,Basic,Так,PHP,,JavaScript,PHP,PHP,Ні,,Книги та документацію,4,4,32,Так,Ні
1/8/2020 10:18:50,Basic,Так,TypeScript,,PL-SQL,TypeScript,Python,Так,Python,Книги та документацію,18,3,40,Так,Так
1/8/2020 10:18:54,Pascal/Delphi,Ні,,"1C, T-SQL, Perl","JavaScript, C#",C#,"1C, T-SQL",Так,C#,Книги та документацію,20,15,42,Так,Ні
1/8/2020 10:18:55,Basic,Ні,,"JavaScript, C#",,C#,"JavaScript, C#",Ні,,,4,4,25,Так,Так
1/8/2020 10:18:59,Basic,Так,Python,,,Python,,Так,Go,Онлайн-курси,13,5,34,Так,Ні
1/8/2020 10:19:13,PHP,Так,PHP,,"JavaScript, Unix Shell, Go, Ruby",PHP,"JavaScript, PHP, Ruby",Ні,,Книги та документацію,,,31,Так,Ні
1/8/2020 10:19:20,Pascal/Delphi,Так,PHP,,JavaScript,JavaScript,,Ні,,Книги та документацію,10,8,32,Так,Так
1/8/2020 10:19:26,PHP,Так,PHP,,JavaScript,PHP,,Ні,,Книги та документацію,3,3,22,Так,Так
1/8/2020 10:19:29,Pascal/Delphi,Так,1C,,Python,1C,1C,Ні,,Книги та документацію,6,4,24,Так,Так
1/8/2020 10:19:46,Pascal/Delphi,Так,Ruby,,"JavaScript, Python",Python,,Так,Go,Офлайн-курси,8,8,33,Так,Не пам'ятаю
1/8/2020 10:19:55,Basic,Так,Java,,"JavaScript, Python, Unix Shell, TypeScript, Java, PL-SQL",Java,,Ні,Kotlin,Книги та документацію,3,3,29,Так,Не пам'ятаю
1/8/2020 10:20:06,Pascal/Delphi,Так,JavaScript,,TypeScript,TypeScript,,Ні,,Книги та документацію,3,3,22,Так,Не пам'ятаю
1/8/2020 10:20:16,C++,Так,TypeScript,,"JavaScript, PHP",TypeScript,TypeScript,Так,Python,Онлайн-курси,10,5,34,Ні,Ні
1/8/2020 10:20:36,JavaScript,Так,Kotlin,,"JavaScript, Python, PHP, Kotlin",JavaScript,"JavaScript, Python",Так,Dart,Книги та документацію,3,3,26,Так,Не пам'ятаю
1/8/2020 10:20:37,Pascal/Delphi,Так,Java,,"JavaScript, TypeScript, PL-SQL, Scala",Java,,Ні,,,9,9,33,Так,Ні
1/8/2020 10:20:39,Basic,Так,Python,,"Unix Shell, Perl",Go,Perl,Так,Go,Онлайн-курси,20,10,48,Так,Не пам'ятаю
1/8/2020 10:20:41,С#,Так,C#,,"JavaScript, T-SQL",C#,"JavaScript, C#",Ні,,Онлайн-курси,1,1,38,Так,Не пам'ятаю
1/8/2020 10:21:32,C++,Так,1C,,"T-SQL, C#, PL-SQL",1C,C#,Так,C#,Офлайн-курси,7,7,30,Так,Так
1/8/2020 10:21:33,Pascal/Delphi,Так,Java,,JavaScript,JavaScript,Java,Так,JavaScript,Книги та документацію,2,1,18,Так,Не пам'ятаю
1/8/2020 10:21:39,Pascal/Delphi,Так,JavaScript,,"Unix Shell, TypeScript",Python,,Так,Go,Книги та документацію,0.5,0.5,25,Так,Ні
1/8/2020 10:21:42,Python,Так,Python,,Unix Shell,Python,Python,Ні,,Онлайн-курси,0,2,25,Так,Ні
1/8/2020 10:21:51,Basic,Так,Go,,,Go,"Go, Perl",Так,Haskell,Книги та документацію,19,4,40,Так,Так
1/8/2020 10:21:59,Pascal/Delphi,Так,PHP,,"JavaScript, Unix Shell",PHP,Python,Так,Python,Онлайн-курси,5,5,31,Так,Не пам'ятаю
1/8/2020 10:22:06,Basic,Так,PHP,,JavaScript,PHP,PHP,Ні,,Книги та документацію,16,16,38,Так,Так
1/8/2020 10:22:18,Pascal/Delphi,Так,Python,,"JavaScript, Python, Unix Shell, C++",Java,"JavaScript, Python, Scala",Так,Scala,Книги та документацію,6,5,28,Так,Не пам'ятаю
1/8/2020 10:22:20,Java,Так,Java,,"Kotlin, Swift",Kotlin,"Swift, Kotlin",Ні,,Книги та документацію,5,5,32,Так,Не пам'ятаю
1/8/2020 10:22:22,JavaScript,Так,JavaScript,,"TypeScript, PHP",JavaScript,"JavaScript, PHP",Ні,,Онлайн-курси,2,2,33,Так,Ні
1/8/2020 10:22:39,C,Так,C#,,"JavaScript, TypeScript",C#,"C#, TypeScript, T-SQL",Ні,,Онлайн-курси,1,1,19,Так,Ні
1/8/2020 10:22:41,JavaScript,Так,JavaScript,,"TypeScript, PHP",JavaScript,"JavaScript, PHP",Ні,,Книги та документацію,4,3,28,Так,Так
1/8/2020 10:22:44,VisualBasic,Так,PHP,,"JavaScript, Go",PHP,"JavaScript, PHP, Go",Ні,,Книги та документацію,10,10,31,Так,Так
1/8/2020 10:22:58,Pascal/Delphi,Так,Ruby,,"JavaScript, Go",Ruby,Java,Так,Go,Книги та документацію,7,7,32,Так,Не пам'ятаю
1/8/2020 10:23:12,Pascal/Delphi,Так,Java,,"JavaScript, Python, Unix Shell",Java,"Java, JavaScript, Python",Ні,,Онлайн-курси,5,5,27,Так,Не пам'ятаю
1/8/2020 10:23:17,Java,Так,Java,,JavaScript,Java,Java,Так,JavaScript,Онлайн-курси,4,4,28,Так,Так
1/8/2020 10:23:20,Pascal/Delphi,Так,Clojure,,"Python, Unix Shell, Ruby",Rust,Ruby,Так,Rust,Книги та документацію,8,2,29,Так,Так
1/8/2020 10:23:29,PHP,Так,Swift,,Ruby,Dart,,Так,Dart,Книги та документацію,3,3,23,Так,Так
1/8/2020 10:23:48,Java,Так,TypeScript,,"JavaScript, TypeScript, Java, C#",TypeScript,"Java, TypeScript",Ні,,Книги та документацію,5,3,29,Так,Ні
1/8/2020 10:23:52,Pascal/Delphi,Так,PHP,,"JavaScript, Python, TypeScript",PHP,,Так,Go,Онлайн-курси,12,12,31,Ні,Так
1/8/2020 10:24:10,Basic,Так,Java,,"JavaScript, Kotlin, Scala",Scala,"Java, Kotlin, Scala",Так,Python,Онлайн-курси,10,10,39,Так,Не пам'ятаю
1/8/2020 10:24:16,Basic,Так,TypeScript,,"JavaScript, Unix Shell",TypeScript,TypeScript,Так,JavaScript,Книги та документацію,5,2,41,Так,Так
1/8/2020 10:24:16,Pascal/Delphi,Так,Java,,JavaScript,Java,Java,Ні,,Онлайн-курси,5,5,31,Так,Ні
1/8/2020 10:24:18,C,Так,C#,,"JavaScript, T-SQL",C#,,Ні,,Онлайн-курси,12,9,31,Так,Так
1/8/2020 10:24:24,Basic,Так,TypeScript,,JavaScript,TypeScript,,Так,Rust,Книги та документацію,6,1,30,Так,Не пам'ятаю
1/8/2020 10:24:27,Pascal/Delphi,Так,Ruby,,JavaScript,Ruby,Ruby,Ні,,Книги та документацію,7,6,34,Так,Так
1/8/2020 10:24:27,Ruby,Так,C#,,,C#,,Ні,,Книги та документацію,8,4,29,Так,Не пам'ятаю
1/8/2020 10:24:37,Python,Так,Python,,"JavaScript, Unix Shell, TypeScript",Python,Python,Так,Go,Онлайн-курси,10,8,30,Так,Ні
1/8/2020 10:24:41,Pascal/Delphi,Так,JavaScript,,"TypeScript, Java, Go",Go,"Java, JavaScript",Ні,Go,Книги та документацію,3,2,26,Так,Так
1/8/2020 10:24:46,Pascal/Delphi,Так,TypeScript,,,TypeScript,,Ні,,Онлайн-курси,2,2,24,Так,Так
1/8/2020 10:24:57,Pascal/Delphi,Так,JavaScript,,,JavaScript,JavaScript,Ні,,Книги та документацію,3,2,24,Так,Ні
1/8/2020 10:25:05,C,Так,TypeScript,,JavaScript,TypeScript,TypeScript,Так,Python,Книги та документацію,2.5,2.5,23,Так,Не пам'ятаю
1/8/2020 10:25:24,Python,Так,Python,,JavaScript,Python,"JavaScript, Python",Ні,,Книги та документацію,7,7,28,Так,Так
1/8/2020 10:25:44,Objective-C,Так,Swift,,"JavaScript, Ruby, Clojure",Clojure,"JavaScript, Swift, Ruby, Objective-C, Elm",Так,Clojure,Книги та документацію,5,3,24,Так,Ні
1/8/2020 10:25:49,Pascal/Delphi,Так,PHP,,JavaScript,PHP,"JavaScript, PHP, Python",Так,Python,Книги та документацію,4,4,23,Так,Так
1/8/2020 10:26:10,JavaScript,Так,JavaScript,,PHP,JavaScript,JavaScript,Так,PHP,Онлайн-курси,1,2,26,Так,Ні
1/8/2020 10:26:11,Java,Так,Java,,JavaScript,Java,Java,Так,Go,Книги та документацію,4,4,23,Так,Так
1/8/2020 10:26:13,Basic,Так,Java,,"JavaScript, PL-SQL",Java,Java,Ні,,Онлайн-курси,4,4,45,Так,Не пам'ятаю
1/8/2020 10:26:35,DBase dialect,Так,Java,,SQL,Scala,"Java, Scala",Так,Scala,Онлайн-курси,10,6,45,Так,Так
1/8/2020 10:26:36,C++,Так,Groovy,,"Java, T-SQL",Kotlin,,Ні,,Книги та документацію,2,2,22,Так,Не пам'ятаю
1/8/2020 10:26:52,1C,Так,1C,,"JavaScript, PHP",JavaScript,"JavaScript, PHP, 1C",Так,TypeScript,Онлайн-курси,8,8,33,Так,Ні
1/8/2020 10:27:04,Java,Так,PHP,,JavaScript,PHP,"JavaScript, PHP",Так,Python,Книги та документацію,1,1,23,Так,Не пам'ятаю
1/8/2020 10:27:11,C++,Так,Ruby,,,Elixir,"JavaScript, Elixir",Ні,,Книги та документацію,4,4,27,Так,Так
1/8/2020 10:27:12,C++,Так,C#,,JavaScript,C#,,Ні,,Книги та документацію,2,2,20,Так,Не пам'ятаю
1/8/2020 10:27:34,C++,Так,Kotlin,,"Unix Shell, Java",Kotlin,"Java, C++, Kotlin",Так,C++,Книги та документацію,2,1,22,Так,Так
1/8/2020 10:27:37,Pascal/Delphi,Так,C#,,"Unix Shell, T-SQL",C#,F#,Так,Haskell,Книги та документацію,5,4,24,Так,Так
1/8/2020 10:27:37,C,Так,C#,,"JavaScript, TypeScript, C#",C#,C#,Так,Python,Книги та документацію,6,5,30,Так,Не пам'ятаю
1/8/2020 10:27:39,Basic,Так,C#,,"JavaScript, T-SQL",JavaScript,,Так,JavaScript,Книги та документацію,11,11,30,Так,Не пам'ятаю
1/8/2020 10:27:43,JavaScript,Так,JavaScript,,"JavaScript, TypeScript, PHP",JavaScript,,Так,Go,Книги та документацію,3,3,24,Так,Ні
1/8/2020 10:27:45,C++,Так,C++,,"Java, C++, Go",C++,,Так,Python,Книги та документацію,5,2,27,Так,Ні
1/8/2020 10:27:46,C,Так,Python,,Unix Shell,Python,Python,Так,Scala,Онлайн-курси,3,3,23,Так,Так
1/8/2020 10:27:51,С#,Так,Python,,"JavaScript, Unix Shell",Python,"JavaScript, Python",Ні,,Онлайн-курси,3,2,25,Так,Не пам'ятаю
1/8/2020 10:27:56,JavaScript,Так,JavaScript,,"JavaScript, PHP",Java,,Так,C#,Книги та документацію,5,3,38,Так,Так
1/8/2020 10:28:02,C++,Так,TypeScript,,JavaScript,TypeScript,Ruby,Ні,,Книги та документацію,4,3,24,Ні,Так
1/8/2020 10:28:05,Pascal/Delphi,Так,PHP,,Python,Python,PHP,Так,Dart,Онлайн-курси,4,2,30,Так,Не пам'ятаю
1/8/2020 10:28:07,JavaScript,Так,Ruby,,JavaScript,Ruby,"JavaScript, Ruby",Ні,Kotlin,Книги та документацію,1,1,27,Так,Не пам'ятаю
1/8/2020 10:28:11,Java,Так,PL-SQL,,Java,Java,,Так,TypeScript,Офлайн-курси,1,1,29,Так,Так
1/8/2020 10:28:12,Pascal/Delphi,Ні,,"JavaScript, C#","TypeScript, T-SQL",C#,"JavaScript, C#",Так,TypeScript,,1.5,1.5,21,Так,Не пам'ятаю
1/8/2020 10:28:13,Pascal/Delphi,Ні,,"JavaScript, C#, TypeScript","PHP, Groovy",C#,F#,Так,Rust,Книги та документацію,9,9,29,Так,Так
1/8/2020 10:28:14,Python,Так,Python,,JavaScript,Python,,Так,Go,Онлайн-курси,3,3,31,Так,Не пам'ятаю
1/8/2020 10:28:14,Basic,Так,Python,,JavaScript,Python,Python,Так,Rust,Книги та документацію,9,7,30,Так,Ні
1/8/2020 10:28:17,C++,Так,JavaScript,,TypeScript,JavaScript,JavaScript,Ні,,Онлайн-курси,1,1,20,Так,Ні
1/8/2020 10:28:19,C,Так,Python,,C++,Python,,Ні,,Книги та документацію,2,2,24,Так,Так
1/8/2020 10:28:20,JavaScript,Так,JavaScript,,JavaScript,JavaScript,JavaScript,Ні,JavaScript,Онлайн-курси,1,1,26,Так,Ні
1/8/2020 10:28:29,Python,Так,TypeScript,,"JavaScript, TypeScript",TypeScript,,Так,Python,Книги та документацію,3,3,24,Так,Ні
1/8/2020 10:28:31,PHP,Так,PHP,,JavaScript,PHP,"JavaScript, PHP",Так,Python,Онлайн-курси,6,6,29,Так,Ні
1/8/2020 10:28:31,Pascal/Delphi,Так,Python,,,Python,"Python, Swift",Так,R,Книги та документацію,6,2,26,Так,Так
1/8/2020 10:28:33,C++,Так,C++,,Python,C++,C++,Ні,,Книги та документацію,12,5,36,Так,Ні
1/8/2020 10:28:34,Basic,Так,PHP,,JavaScript,Swift,"Java, JavaScript, PHP, Swift",Так,Swift,Книги та документацію,6,6,30,Так,Ні
1/8/2020 10:28:35,Pascal/Delphi,Так,Swift,,Python,Swift,"Python, Swift",Так,JavaScript,Онлайн-курси,4,2,24,Так,Так
1/8/2020 10:28:35,Java,Так,Java,,JavaScript,JavaScript,"Java, JavaScript",Ні,,Книги та документацію,9,9,33,Так,Ні
1/8/2020 10:28:36,Pascal/Delphi,Так,Kotlin,,"Java, Kotlin",Kotlin,"Java, Go",Так,Dart,Книги та документацію,4,2,22,Так,Так
1/8/2020 10:28:41,С#,Так,Python,,,Python,Python,Ні,,Книги та документацію,1,1,26,Так,Ні
1/8/2020 10:28:44,Java,Так,Java,,"Python, C#",Java,Java,Ні,,Офлайн-курси,4,3,28,Так,Ні
1/8/2020 10:28:45,X++,Так,X++,,C#,C#,,Ні,,,9,8,28,Так,Не пам'ятаю
1/8/2020 10:28:46,JavaScript,Так,JavaScript,,TypeScript,JavaScript,"JavaScript, TypeScript",Так,Python,Онлайн-курси,5,5,34,Так,Ні
1/8/2020 10:28:48,Python,Так,Python,,Unix Shell,Python,,Ні,,,6,4,25,Так,Не пам'ятаю
1/8/2020 10:28:48,C++,Так,C#,,"C++, C#, Objective-C",C#,"C#, C++",Так,Java,Онлайн-курси,11,6,34,Так,Не пам'ятаю
