Timestamp,FirstLanguage,MainLanguage,NowLanguage,NowLanguages2,AdditionalLanguages1,NextLanguage,PetProjectsLanguages,Learn,LearnLanguage,LearnWay,ExperienceInProgramming,ExperienceInLanguage,AgeYears,InUA,InPrev
1/5/2017 8:09:04,Pascal/Delphi,Да,JavaScript,,Python,Go,Swift,Да,Clojure,Книги и документацию,4,3,25,Да,Да
1/5/2017 8:09:16,C,Да,JavaScript,,"C#, C++, PL-SQL, T-SQL",C#,,Нет,,Книги и документацию,9,2,28,Да,Нет
1/5/2017 8:09:22,Pascal/Delphi,Да,Java,,PL-SQL,Java,"Java, PL-SQL",Нет,,Книги и документацию,,3,,Нет,Не помню
1/5/2017 8:09:25,Basic,Да,C#,,"JavaScript, T-SQL",C#,,Нет,,Книги и документацию,10+,7,40,Да,Да
1/5/2017 8:09:29,Pascal/Delphi,Да,C++,,Unix Shell,C++,,Да,JavaScript,Книги и документацию,5,5,25,Да,Да
1/5/2017 8:09:34,PHP,Да,Java,,PHP,Java,,Да,Python,Офлайн-курсы,<1,<1,25,Да,Нет
1/5/2017 8:09:37,Perl,Да,JavaScript,,PHP,C#,"C#, JavaScript",Нет,,Книги и документацию,10+,10+,38,Да,Да
1/5/2017 8:09:45,C++,Да,PHP,,"JavaScript, Swift, CoffeeScript",PHP,"Java, JavaScript, PHP, Swift",Да,Go,Онлайн-курсы,6,5,26,Да,Да
1/5/2017 8:09:47,Pascal/Delphi,Да,Swift,,"Objective-C, Swift",Swift,"Java, C++, Objective-C, Swift, Rust",Да,Rust,Онлайн-курсы,4,1,21,Да,Нет
1/5/2017 8:09:51,Pascal/Delphi,Да,C#,,"JavaScript, T-SQL",C#,,Да,JavaScript,Книги и документацию,2,2,27,Да,Нет
1/5/2017 8:09:52,Basic,Нет,C#,,"JavaScript, PHP, Python, C++, Clojure",Clojure,"C#, Python, Clojure",Да,Go,Книги и документацию,9,7,31,Да,Да
1/5/2017 8:09:58,Python,Да,JavaScript,,"Python, Unix Shell",JavaScript,,Нет,,Онлайн-курсы,3,<1,27,Да,Да
1/5/2017 8:10:06,C++,Нет,PHP,,JavaScript,Java,Java,Да,Python,Книги и документацию,<1,<1,27,Да,Нет
1/5/2017 8:10:07,Basic,Да,C++,,Python,C++,Rust,Да,Rust,Книги и документацию,3,3,20,Да,Нет
1/5/2017 8:10:09,Pascal/Delphi,Да,Java,,JavaScript,Java,Java,Нет,,Книги и документацию,,,,Да,Да
1/5/2017 8:10:14,Basic,Да,PHP,,"Python, Perl, Go",PHP,"PHP, Perl, Go",Да,Java,Книги и документацию,10+,10+,34,Да,Да
1/5/2017 8:10:19,Basic,Да,C#,,"Scala, T-SQL, F#",F#,F#,Да,Ruby,Книги и документацию,10+,10+,38,Да,Не помню
1/5/2017 8:10:21,C,Да,C#,,JavaScript,C#,,Нет,,Онлайн-курсы,5,5,31,Да,Не помню
1/5/2017 8:10:21,Pascal/Delphi,Да,JavaScript,,TypeScript,TypeScript,"JavaScript, PHP",Нет,,Книги и документацию,2,2,21,Да,Нет
1/5/2017 8:10:23,Pascal/Delphi,Да,PHP,,JavaScript,Java,C#,Да,Python,Книги и документацию,7,1,27,Да,Нет
1/5/2017 8:10:28,C,Да,PHP,,JavaScript,PHP,"JavaScript, PHP",Да,Swift,Книги и документацию,5,5,24,Да,Нет
1/5/2017 8:10:34,C#,Да,C#,,Python,C#,Python,Да,Ruby,Онлайн-курсы,<1,<1,40,Да,Нет
1/5/2017 8:10:37,Java,Да,Java,,groovy basic javascript,PL-SQL,Java,Да,PL-SQL,Книги и документацию,2,2,26,Да,Да
1/5/2017 8:10:39,C#,Да,C#,,"JavaScript, T-SQL",C#,"C#, T-SQL",Да,JavaScript,Книги и документацию,2,2,33,Да,Нет
1/5/2017 8:10:44,Perl,Да,C#,,C,C#,"C#, C++, Go",Да,Go,Книги и документацию,5,4,29,Да,Да
1/5/2017 8:10:46,C#,Да,Java,,JavaScript,Scala,,Да,Scala,Онлайн-курсы,1,<1,24,Да,Нет
1/5/2017 8:10:47,Java,Да,JavaScript,,Python,JavaScript,нет,Да,Ruby,Книги и документацию,<1,<1,27,Да,Нет
1/5/2017 8:10:54,Basic,Да,C#,,JavaScript,C#,"C#, JavaScript",Нет,,Книги и документацию,1,1,30,Да,Нет
1/5/2017 8:11:06,Pascal/Delphi,Да,Ruby,,"JavaScript, PL-SQL, Unix Shell",Ruby,"JavaScript, Ruby",Да,Scala,Книги и документацию,4,4,21,Да,Да
1/5/2017 8:11:09,PHP,Да,Java,,"PL-SQL, Unix Shell",Java,"Java, PHP, Ruby",Нет,,Книги и документацию,2,2,21,Да,Да
1/5/2017 8:11:11,Pascal/Delphi,Да,C#,,"JavaScript, T-SQL",C#,C#,Да,JavaScript,Книги и документацию,2,1,27,Да,Нет
1/5/2017 8:11:11,Pascal/Delphi,Да,C#,,"1C, T-SQL",Java,,Да,Java,,10+,5,35,Да,Да
1/5/2017 8:11:19,Pascal/Delphi,Да,Python,,"Java, JavaScript, Unix Shell",Python,"Python, PL-SQL, R",Да,Java,Книги и документацию,<1,<1,22,Да,Нет
1/5/2017 8:11:23,PHP,Да,PHP,,JavaScript,PHP,"JavaScript, PHP, Objective-C, Swift",Да,Swift,Онлайн-курсы,1,1,22,Да,Нет
1/5/2017 8:11:23,JavaScript,Да,JavaScript,,"Python, Unix Shell",JavaScript,JavaScript,Нет,,Онлайн-курсы,2,1,26,Нет,Да
1/5/2017 8:11:24,Basic,Да,Java,,"JavaScript, PL-SQL",Java,C#,Нет,,Книги и документацию,10+,4,37,Да,Да
1/5/2017 8:11:25,Pascal/Delphi,Да,Python,,Unix Shell,Java,Python,Нет,,Офлайн-курсы,2,1,28,Да,Нет
1/5/2017 8:11:31,Java,Да,Java,,JavaScript,Java,"Java, JavaScript",Нет,,Онлайн-курсы,1,1,27,Да,Не помню
1/5/2017 8:11:34,Pascal/Delphi,Да,C#,,JavaScript,C#,C#,Нет,,Книги и документацию,<1,<1,23,Да,Нет
1/5/2017 8:11:42,C++,Да,C#,,"JavaScript, T-SQL",C#,"C#, JavaScript, T-SQL",Да,Go,Книги и документацию,8,5,29,Да,Не помню
1/5/2017 8:11:47,Pascal/Delphi,Да,Python,,"JavaScript, Erlang",Python,"Python, Erlang",Да,Go,Книги и документацию,10+,4,34,Нет,Да
1/5/2017 8:11:52,Pascal/Delphi,Да,PHP,,"JavaScript, T-SQL, Unix Shell",PHP,JavaScript,Да,Go,Книги и документацию,1,1,,Да,Не помню
1/5/2017 8:12:02,C++,Да,Java,,,Scala,Swift,Нет,,Книги и документацию,7,7,27,Да,Нет
1/5/2017 8:12:10,Pascal/Delphi,Да,Java,,Java,Java,Java,Нет,Java,Книги и документацию,<1,1,23,Да,Нет
1/5/2017 8:12:11,Pascal/Delphi,Да,Ruby,,"JavaScript, Python, Unix Shell",Ruby,"Python, Ruby",Да,JavaScript,Офлайн-курсы,1,1,26,Да,Нет
1/5/2017 8:12:17,Pascal/Delphi,Да,C++,,"Python, T-SQL",Rust,"Python, C++",Да,Ruby,Онлайн-курсы,4,4,26,Да,Не помню
1/5/2017 8:12:40,JavaScript,Да,Apex,,JavaScript,Java,JavaScript,Нет,,Офлайн-курсы,1,<1,21,Да,Не помню
1/5/2017 8:12:49,Basic,Да,Java,,"JavaScript, Python, Scala",Scala,"Java, C#",Да,PL-SQL,Книги и документацию,10+,3,34,Да,Не помню
1/5/2017 8:12:57,C,Да,PHP,,"JavaScript, Unix Shell",PHP,PHP,Нет,,Книги и документацию,10+,10+,50,Да,Не помню
1/5/2017 8:12:59,Basic,Да,Java,,"Python, Unix Shell",Java,Java,Нет,,Книги и документацию,2,2,22,Да,Не помню
1/5/2017 8:13:06,Pascal/Delphi,Да,C#,,"JavaScript, T-SQL",C#,C#,Нет,,,4,4,23,Да,Не помню
1/5/2017 8:13:11,C,Да,Ruby,,JavaScript,C++,,Да,C++,Книги и документацию,5,3,25,Да,Нет
1/5/2017 8:13:13,PHP,Да,PHP,,JavaScript,PHP,,Да,Go,Книги и документацию,10+,10+,39,Нет,Не помню
1/5/2017 8:13:14,Pascal/Delphi,Да,Scala,,Java,Scala,"Java, JavaScript, Scala",Да,Haskell,Онлайн-курсы,2,<1,20,Да,Нет
1/5/2017 8:13:22,Swift,Да,Objective-C,,C++,Swift,,Да,Swift,Онлайн-курсы,2,2,31,Да,Нет
1/5/2017 8:13:32,Pascal/Delphi,Да,Java,,"Java, Scala",Java,Java,Да,Python,Книги и документацию,1,2,20,Да,Нет
1/5/2017 8:13:43,Pascal/Delphi,Да,JavaScript,,,JavaScript,"JavaScript, Python",Да,Go,Онлайн-курсы,2,2,26,Да,Да
1/5/2017 8:13:57,Pascal/Delphi,Нет,Perl,,"Java, JavaScript, T-SQL",Java,"Java, Python",Да,Python,Онлайн-курсы,8,4,34,Да,Да
1/5/2017 8:14:07,C#,Да,C#,,Java,C#,C#,Да,JavaScript,Книги и документацию,2,<1,33,Да,Нет
1/5/2017 8:14:09,Pascal/Delphi,Да,Java,,JavaScript,Java,,Нет,,,2,2,24,Да,Нет
1/5/2017 8:14:16,PHP,Да,JavaScript,,PHP,JavaScript,,Нет,,Книги и документацию,2,1,29,Да,Нет
1/5/2017 8:14:17,C,Да,Python,,"JavaScript, Unix Shell",Go,"JavaScript, Python",Нет,,Книги и документацию,5,5,30,Да,Не помню
1/5/2017 8:14:25,C,Да,C#,,"JavaScript, T-SQL",C#,"C#, JavaScript, C++, PL-SQL, T-SQL",Нет,,Книги и документацию,10+,10+,,Да,Нет
1/5/2017 8:14:36,JavaScript,Да,JavaScript,,JavaScript,Python,JavaScript,Да,Python,Книги и документацию,1,<1,23,Да,Нет
1/5/2017 8:14:59,Perl,Да,PHP,,"Java, JavaScript",Java,"Java, C#",Да,Scala,Книги и документацию,6,6,28,Да,Да
1/5/2017 8:15:07,Ruby,Да,PHP,,"Java, JavaScript, Unix Shell",Ruby,"Java, JavaScript, PHP, C++",Нет,Ruby,Книги и документацию,8,7,25,Да,Да
1/5/2017 8:15:10,Basic,Да,Java,,,Java,"Java, Scala",Да,Scala,Книги и документацию,7,5,33,Да,Да
1/5/2017 8:15:13,Java,Нет,Java,,"C#, JavaScript, PHP, Python, C++",Java,,Да,Haskell,,<1,<1,22,Да,Не помню
1/5/2017 8:15:19,Fortran,Нет,JavaScript,,"Java, Objective-C",C#,JavaScript,Нет,,Книги и документацию,10+,2,39,Да,Да
1/5/2017 8:15:21,C,Нет,Go,,"JavaScript, Python, C++",Go,"JavaScript, Go",Да,Python,Онлайн-курсы,10+,1,43,Да,Нет
1/5/2017 8:15:23,Pascal/Delphi,Да,JavaScript,,,JavaScript,JavaScript,Да,C,Книги и документацию,10+,5,30,Да,Да
1/5/2017 8:15:23,Basic,Да,C#,,"JavaScript, T-SQL",C#,,Нет,Haskell,Онлайн-курсы,10+,6,33,Да,Нет
1/5/2017 8:15:29,Basic,Да,PL-SQL,,"Java, C#",C#,C#,Да,Java,Онлайн-курсы,1,<1,29,Да,Не помню
1/5/2017 8:15:44,C,Да,Ruby,,"JavaScript, PHP, Ruby, PL-SQL, CoffeeScript",Ruby,Ruby,Нет,,Книги и документацию,6,4,30,Да,Да
1/5/2017 8:15:46,Python,Да,Python,,,Java,"Java, C#, C++",Нет,,Онлайн-курсы,3,1,,Да,Да
1/5/2017 8:15:53,C++,Да,C++,,"Python, C, Unix Shell",C++,"Python, C++",Да,Haskell,Онлайн-курсы,5,5,39,Да,Да
1/5/2017 8:15:59,Pascal/Delphi,Да,JavaScript,,,JavaScript,JavaScript,Нет,,Офлайн-курсы,1,1,27,Да,Да
1/5/2017 8:16:02,Pascal/Delphi,Да,C++,,"Python, C, Unix Shell",C++,,Да,Python,Книги и документацию,1,1,21,Да,Не помню
1/5/2017 8:16:06,Pascal/Delphi,Да,Python,,Ruby,Python,C++,Нет,,Книги и документацию,5,1,29,Да,Не помню
1/5/2017 8:16:07,Swift,Да,Swift,,,Swift,Swift,Нет,,Книги и документацию,5,1,24,Да,Не помню
1/5/2017 8:16:17,Pascal/Delphi,Да,C#,,"JavaScript, T-SQL",C#,,Нет,,Книги и документацию,9,6,34,Да,Нет
1/5/2017 8:16:18,C++,Да,C++,,"Java, C#, Python",C#,"C#, C++",Нет,Python,Книги и документацию,,3,24,Да,Нет
1/5/2017 8:16:20,Java,Да,JavaScript,,C#,JavaScript,,Да,,Книги и документацию,1,<1,21,Да,Нет
1/5/2017 8:16:24,Basic,Да,C++,,"Python, Assembler (MASM32)",C++,"C#, Python, C++, C, Erlang",Да,Clojure,Книги и документацию,10+,10+,33,Да,Да
1/5/2017 8:16:27,Basic,Да,PL-SQL,,Python,JavaScript,"Python, PL-SQL",Да,JavaScript,Книги и документацию,1,1,36,Да,Нет
1/5/2017 8:16:27,C++,Да,JavaScript,,"PHP, CoffeeScript, Unix Shell",Go,"JavaScript, Go",Да,Clojure,,4,4,24,Да,Нет
1/5/2017 8:16:30,Java,Да,Java,,,Java,,Да,Swift,Книги и документацию,<1,<1,30,Да,Не помню
1/5/2017 8:16:36,Pascal/Delphi,Да,PHP,,"JavaScript, PHP",Swift,PHP,Нет,,Книги и документацию,10+,7,31,Да,Не помню
1/5/2017 8:16:38,Java,Да,Java,,JavaScript,JavaScript,"Java, JavaScript",Да,JavaScript,Онлайн-курсы,2,<1,,Да,Нет
1/5/2017 8:16:43,Pascal/Delphi,Да,C#,,"JavaScript, T-SQL",C#,"C#, JavaScript",Да,Python,Офлайн-курсы,2,2,22,Да,Да
1/5/2017 8:16:47,Basic,Нет,PHP,,"JavaScript, Python, Ruby",PHP,"JavaScript, PHP",Да,Go,Онлайн-курсы,2,2,29,Да,Да
1/5/2017 8:16:56,Pascal/Delphi,Да,C,,"Python, C++, Erlang, Unix Shell",C++,C++,Да,Go,Книги и документацию,10+,4,41,Да,Да
1/5/2017 8:17:02,C++,Да,PHP,,"JavaScript, C++",PHP,PHP,Да,Java,Книги и документацию,8,5,31,Да,Нет
1/5/2017 8:17:30,Java,Да,Java,,"JavaScript, PL-SQL, T-SQL",Java,"Java, JavaScript, PL-SQL",Да,JavaScript,Онлайн-курсы,2,2,35,Да,Нет
1/5/2017 8:17:31,Basic,Да,PHP,,JavaScript,PHP,PHP,Да,Go,Книги и документацию,3,3,33,Да,Да
1/5/2017 8:17:46,Pascal/Delphi,Да,Python,,"JavaScript, C",Python,C#,Да,Clojure,Книги и документацию,5,5,27,Да,Да
1/5/2017 8:17:48,Pascal/Delphi,Да,C++,,"Java, C#, PHP, Python, C++, Ruby, C",Swift,,Да,PHP,Офлайн-курсы,<1,<1,18,Да,Нет
1/5/2017 8:18:17,Pascal/Delphi,Да,Java,,"Java, JavaScript, C++, Unix Shell",Java,Java,Да,Python,Онлайн-курсы,3,2,25,Да,Нет
1/5/2017 8:18:17,Java,Да,Java,,JavaScript,Java,"Java, JavaScript, R",Нет,,Книги и документацию,<1,<1,,Да,Нет
1/5/2017 8:18:26,Pascal/Delphi,Да,C#,,"JavaScript, T-SQL",C#,,Да,JavaScript,Книги и документацию,4,4,28,Да,Нет
1/5/2017 8:18:26,JavaScript,Да,JavaScript,,JavaScript,JavaScript,JavaScript,Да,JavaScript,Офлайн-курсы,1,1,22,Да,Не помню
1/5/2017 8:18:37,C++,Да,JavaScript,,"Python, R",Python,"JavaScript, Python",Да,,Книги и документацию,1,1,22,Да,Нет
1/5/2017 8:18:48,C,Да,R,,T-SQL,Objective-C,Objective-C,Да,Swift,Онлайн-курсы,5,3,,Да,Нет
1/5/2017 8:18:56,C#,Да,C#,,JavaScript,C#,C#,Да,Java,Книги и документацию,1,1,21,Да,Не помню
1/5/2017 8:19:06,JavaScript,Да,JavaScript,,TypeScript,JavaScript,JavaScript,Да,Dart,Книги и документацию,1,1,25,Да,Нет
1/5/2017 8:19:09,PHP,Да,JavaScript,,,JavaScript,JavaScript,Да,Python,Офлайн-курсы,<1,<1,29,Да,Нет
1/5/2017 8:19:15,Pascal/Delphi,Да,JavaScript,,JavaScript,JavaScript,JavaScript,Нет,,Книги и документацию,<1,<1,21,Да,Не помню
1/5/2017 8:19:32,C,Да,Python,,"Java, Julia",Scala,"Python, Scala",Да,JavaScript,Онлайн-курсы,1,2,21,Да,Не помню
1/5/2017 8:19:34,Pascal/Delphi,Да,JavaScript,,PHP,JavaScript,,Нет,,Онлайн-курсы,1,<1,29,Да,Нет
1/5/2017 8:19:35,C++,Да,JavaScript,,"C#, T-SQL",C#,"C#, JavaScript, T-SQL",Нет,,Книги и документацию,2,2,25,Да,Да
1/5/2017 8:19:37,Pascal/Delphi,Нет,JavaScript,,C#,Python,Python,Да,Python,Книги и документацию,1,<1,21,Да,Да
1/5/2017 8:19:38,C++,Да,JavaScript,,Python,JavaScript,"JavaScript, Python",Да,Swift,Книги и документацию,4,3,26,Да,Да
1/5/2017 8:19:40,Pascal/Delphi,Да,Python,,"Java, Go, Unix Shell, D",Python,,Да,Go,Книги и документацию,2,2,32,Да,Нет
1/5/2017 8:19:43,PHP,Да,Go,,"JavaScript, PHP, Unix Shell",Go,Go,Да,C,Книги и документацию,5,1,27,Да,Не помню
1/5/2017 8:19:47,Pascal/Delphi,Нет,Python,,Swift,Swift,"Python, C++",Да,C,Книги и документацию,<1,<1,20,Да,Нет
1/5/2017 8:19:52,Pascal/Delphi,Нет,Python,,Unix Shell,Python,Python,Нет,,Книги и документацию,<1,<1,24,Да,Нет
1/5/2017 8:19:57,Python,Да,PHP,,JavaScript,JavaScript,"JavaScript, PHP",Да,JavaScript,Онлайн-курсы,2,1,24,Да,Нет
1/5/2017 8:20:07,C++,Да,C#,,C++,C#,,Да,Java,Офлайн-курсы,3,3,28,Да,Не помню
1/5/2017 8:20:09,Pascal/Delphi,Да,C#,,"JavaScript, T-SQL",Python,"C#, JavaScript",Да,Python,Онлайн-курсы,5,5,25,Да,Не помню
1/5/2017 8:20:15,C,Да,PHP,,"JavaScript, Python",PHP,,Да,Python,Книги и документацию,5,5,26,Да,Не помню
1/5/2017 8:20:16,PHP,Да,PHP,,JavaScript,PHP,"JavaScript, PHP",Нет,,Книги и документацию,1,1,20,Да,Нет
1/5/2017 8:20:19,Basic,Да,Objective-C,,"Java, C++, C, Swift",Objective-C,,Да,Go,Онлайн-курсы,7,5,31,Да,Нет
1/5/2017 8:20:25,Pascal/Delphi,Да,C#,,"C#, JavaScript, Python, C++",C++,"Python, C++",Да,C++,Онлайн-курсы,7,3,30,Да,Да
1/5/2017 8:20:32,Basic,Да,PHP,,JavaScript,PHP,PHP,Нет,,Книги и документацию,9,8,30,Да,Не помню
1/5/2017 8:20:37,JavaScript,Да,C#,,"JavaScript, PHP, T-SQL",C#,"C#, JavaScript",Нет,,,<1,<1,26,Да,Нет
1/5/2017 8:20:41,C++,Нет,Java,,JavaScript,C#,C#,Нет,,Онлайн-курсы,<1,<1,22,Да,Нет
1/5/2017 8:20:45,JavaScript,Да,Python,,"JavaScript, Python, Unix Shell",Java,JavaScript,Да,Python,Онлайн-курсы,2,2,32,Да,Нет
1/5/2017 8:20:48,Pascal/Delphi,Да,Java,,,Java,Java,Да,JavaScript,Книги и документацию,<1,<1,19,Да,Нет
1/5/2017 8:20:50,Pascal/Delphi,Нет,C#,,"JavaScript, PHP",CoffeeScript,"C#, C++",Да,PHP,Книги и документацию,2,<1,18,Да,Нет
1/5/2017 8:20:59,PL/SQL,Да,PL-SQL,,VBA,PL-SQL,,Да,Java,Онлайн-курсы,10+,7,35,Да,Да
1/5/2017 8:21:09,Basic,Да,C#,,"Java, C++",C#,"C#, C++, Pascal/Delphi",Да,C#,Книги и документацию,<1,1,20,Да,Нет
1/5/2017 8:21:15,Fortran,Да,Java,,"JavaScript, SQL",Java,Java,Нет,,Книги и документацию,<1,<1,26,Да,Нет
1/5/2017 8:21:17,Pascal/Delphi,Да,Objective-C,,Swift,Swift,Objective-C,Да,Swift,Книги и документацию,10+,4,38,Да,Не помню
1/5/2017 8:21:28,Pascal/Delphi,Да,Python,,"C++, Pascal/Delphi, Unix Shell",Python,Pascal/Delphi,Да,,Книги и документацию,4,2,34,Нет,Не помню
1/5/2017 8:21:32,DBase dialect,Нет,1C,,CoffeeScript,Ruby,JavaScript,Да,C#,Книги и документацию,3,5,,Нет,Нет
1/5/2017 8:21:32,C++,Да,Java,,"Python, T-SQL, Unix Shell",Java,Java,Нет,,Книги и документацию,2,2,24,Да,Да
1/5/2017 8:21:33,Basic,Да,Objective-C,,"JavaScript, Python, Swift",Python,,Да,JavaScript,Книги и документацию,10+,6,33,Да,Да
1/5/2017 8:21:33,Pascal/Delphi,Да,Java,,PL-SQL,Java,,Нет,,Онлайн-курсы,4,4,25,Нет,Да
1/5/2017 8:21:34,Pascal/Delphi,Да,Pascal/Delphi,,C#,Pascal/Delphi,Pascal/Delphi,Нет,,Книги и документацию,7,7,27,Да,Нет
1/5/2017 8:21:35,Pascal/Delphi,Да,C++,,"JavaScript, C",C++,"C++, ActionScript",Да,C#,Книги и документацию,<1,1,21,Да,Нет
1/5/2017 8:21:38,C++,Да,Python,,"JavaScript, Python",C++,"JavaScript, Python, CoffeeScript",Да,Go,Книги и документацию,2,1,20,,
1/5/2017 8:21:42,Pascal/Delphi,Да,Java,,ActionScript,Java,,Нет,,Книги и документацию,9,5,30,Да,Нет
1/5/2017 8:21:50,Pascal/Delphi,Да,PHP,,JavaScript,PHP,"JavaScript, PHP",Нет,,Онлайн-курсы,10+,7,30,Да,Нет
1/5/2017 8:21:55,Pascal/Delphi,Да,Scala,,"Java, JavaScript",Scala,Scala,Нет,,Книги и документацию,6,3,27,Да,Да
1/5/2017 8:22:07,C++,Да,Java,,"JavaScript, Python",Java,Java,Нет,,Онлайн-курсы,2,2,23,Да,Не помню
1/5/2017 8:22:18,Basic,Да,Ruby,,"JavaScript, CoffeeScript, Clojure, Unix Shell",Ruby,"Ruby, Clojure",Нет,,Книги и документацию,10+,7,37,Нет,Да
1/5/2017 8:22:18,Pascal/Delphi,Да,Python,,"JavaScript, PHP",Python,"JavaScript, PHP, Python, Ruby",Да,Swift,Книги и документацию,5,3,30,Да,Не помню
1/5/2017 8:22:20,Basic,Да,C++,,"C#, C, Unix Shell",C++,,Нет,,,10+,10+,35,Нет,Нет
1/5/2017 8:22:21,PHP,Да,PHP,,JavaScript,PHP,,Нет,,,1,2,23,Да,Не помню
1/5/2017 8:22:22,Pascal/Delphi,Да,PHP,,"JavaScript, Ruby, Go",PHP,"JavaScript, PHP",Нет,,,6,5,29,Да,Не помню
1/5/2017 8:22:22,C,Да,JavaScript,,"PHP, Python, Unix Shell",PHP,,Да,Swift,Книги и документацию,6,3,27,Да,Не помню
1/5/2017 8:22:27,Basic,Да,C++,,"Java, Unix Shell",C++,"PHP, C++, Haskell",Нет,Ruby,Книги и документацию,10+,10+,31,Да,Да
1/5/2017 8:22:33,Basic,Да,1C,,"Java, PL-SQL",1C,"Java, 1C",Да,Java,Онлайн-курсы,10+,10+,37,Да,Не помню
1/5/2017 8:22:36,Basic,Да,PHP,,JavaScript,Java,,Да,Go,Книги и документацию,3,3,23,Да,Нет
1/5/2017 8:22:44,Pascal/Delphi,Да,Java,,"C#, C++, C, Pascal/Delphi",Java,"Java, Pascal/Delphi",Да,JavaScript,Офлайн-курсы,10+,4,30,Да,Не помню
1/5/2017 8:22:54,Pascal/Delphi,Да,C#,,"JavaScript, T-SQL",C#,"C#, C++",Нет,,,9,9,33,Да,Да
1/5/2017 8:22:56,Basic,Да,Python,,C#,C#,,Да,C++,Книги и документацию,3,2,38,Да,Не помню
1/5/2017 8:23:12,Basic,Да,Java,,"JavaScript, Python, Ruby, Scala, Unix Shell",Java,Java,,,Книги и документацию,,,26,Нет,Нет
1/5/2017 8:23:14,Basic,Да,Java,,,Java,Java,Нет,,Книги и документацию,3,3,29,Да,Нет
1/5/2017 8:23:15,PHP,Да,PHP,,Unix Shell,PHP,,Нет,,Онлайн-курсы,<1,<1,34,Да,Нет
1/5/2017 8:23:25,Pascal/Delphi,Да,C++,,"Python, C",Go,Python,Да,Go,Книги и документацию,10+,8,31,Нет,Да
1/5/2017 8:23:30,Pascal/Delphi,Да,Java,,"JavaScript, PHP, PL-SQL, Unix Shell",Java,"Java, JavaScript, PHP",Нет,,Книги и документацию,10+,1,32,Да,Да
