Timestamp,FirstLanguage,MainLanguage,NowLanguage,Main2,AdditionalLanguages1,NextLanguage,PetProjectsLanguages,Learn,LearnLanguage,LearnWay,ExperienceInProgramming,ExperienceInLanguage,AgeYears,InUA,InPrev
1/3/2018 10:07:02,Pascal/Delphi,Да,Java,,JavaScript,Java,"Java, JavaScript",Да,JavaScript,Только книги и документацию (не прибегая к курсам),2,2,21,Да,Да
1/3/2018 10:07:24,УАМ,Да,Scala,,,Scala,"C#, Scala",Да,Python,Только книги и документацию (не прибегая к курсам),8,<1,29,Да,Не помню
1/3/2018 10:07:32,Java,Да,Java,,"Java, Clojure",Clojure,,Да,Clojure,Только книги и документацию (не прибегая к курсам),2,1,25,Да,Не помню
1/3/2018 10:07:33,Java,Да,Java,,"Java, Clojure",Clojure,,Да,Clojure,Только книги и документацию (не прибегая к курсам),2,1,25,Да,Не помню
1/3/2018 10:07:33,JavaScript,Да,Ruby,,JavaScript,Ruby,Ruby,Да,JavaScript,Только книги и документацию (не прибегая к курсам),4,3,30,Да,Не помню
1/3/2018 10:07:33,Pascal/Delphi,Да,JavaScript,,C#,C#,C#,Да,JavaScript,Онлайн курсы,1,1,,Да,Да
1/3/2018 10:07:42,Pascal/Delphi,Да,PL/SQL,,"Java, Python, Shell",PL/SQL,PL/SQL,Трудно сказать,"Не в Украине, а на",Только книги и документацию (не прибегая к курсам),6,5,99,Нет,Нет
1/3/2018 10:07:51,C#,Да,C#,,JavaScript,C#,,Да,JavaScript,Только книги и документацию (не прибегая к курсам),3,3,27,Да,Не помню
1/3/2018 10:07:58,C++,Да,PHP,,"Java, JavaScript",Java,"Java, JavaScript, PHP",Да,Java,Онлайн курсы,<1,1,20,Да,Нет
1/3/2018 10:07:59,Java,Нет,,"Java, Python, Ruby","JavaScript, C#, C++, Kotlin, Shell",Java,"Java, C#, Python, Ruby",Да,Kotlin,Онлайн курсы,1,<1,23,Да,Не помню
1/3/2018 10:08:14,Java,Да,TypeScript,,"Java, JavaScript",Java,"Java, JavaScript, PHP, TypeScript",Да,Java,Только книги и документацию (не прибегая к курсам),2,1,28,Да,Не помню
1/3/2018 10:08:23,Pascal/Delphi,Да,C#,,"Java, Swift",C#,C#,Трудно сказать,Swift,Только книги и документацию (не прибегая к курсам),5,5,24,Да,Да
1/3/2018 10:08:29,Pascal/Delphi,Да,Java,,"JavaScript, Python",Java,"Java, Python",Трудно сказать,TypeScript,Только книги и документацию (не прибегая к курсам),3,3,23,Нет,Нет
1/3/2018 10:08:29,PHP,Да,JavaScript,,"Java, Python, TypeScript",JavaScript,"JavaScript, TypeScript",Да,Rust,Только книги и документацию (не прибегая к курсам),5,4,28,Нет,Да
1/3/2018 10:08:34,JavaScript,Да,JavaScript,,TypeScript,PHP,PHP,Да,C++,Офлайн курсы,<1,<1,23,Да,Не помню
1/3/2018 10:08:49,Algol-60,Да,Java,,"JavaScript, Kotlin",,Java,,,Онлайн курсы,,,,Нет,Нет
1/3/2018 10:08:52,Java,Да,C#,,JavaScript,,,Трудно сказать,,Онлайн курсы,3,<1,23,Да,Нет
1/3/2018 10:08:57,Pascal/Delphi,Да,Python,,"C#, T-SQL, R",Python,,Нет,,,10+,4,32,Да,Да
1/3/2018 10:08:59,Java,Да,Java,,"Java, JavaScript",Scala,Java,Нет,Scala,Только книги и документацию (не прибегая к курсам),<1,1,25,Да,Нет
1/3/2018 10:09:07,C#,Да,Java,,TypeScript,Scala,Java,Да,Scala,Только книги и документацию (не прибегая к курсам),2,2,23,Да,Да
1/3/2018 10:09:17,Pascal/Delphi,Да,Swift,,"JavaScript, Python, Swift, Objective-C, Shell",Kotlin,"Swift, Objective-C",Трудно сказать,Kotlin,Только книги и документацию (не прибегая к курсам),6,5,27,Да,Да
1/3/2018 10:09:20,C++,Да,PHP,,"JavaScript, Shell",Java,"JavaScript, PHP",Да,Rust,Только книги и документацию (не прибегая к курсам),,,,Да,Не помню
1/3/2018 10:09:27,Pascal/Delphi,Да,PHP,,"JavaScript, T-SQL",C#,JavaScript,Да,C#,Онлайн курсы,2,1,30,Да,Да
1/3/2018 10:09:38,C,Да,T-SQL,,"Python, Pascal/Delphi",Python,,Да,Java,,<1,<1,32,Да,Нет
1/3/2018 10:09:47,C++,Нет,,"Java, C++, Pascal/Delphi","JavaScript, PHP",Java,"Java, C++",Нет,,Онлайн курсы,<1,<1,,Да,Нет
1/3/2018 10:09:50,Pascal/Delphi,Да,PHP,,"JavaScript, Ruby",PHP,"JavaScript, Ruby",Трудно сказать,,,1,2,21,Да,Не помню
1/3/2018 10:10:18,Pascal/Delphi,Да,PowerShell,,"Python, Ruby",Python,Ruby,Трудно сказать,Python,Офлайн курсы,10+,3,29,Да,Да
1/3/2018 10:10:23,C++,Да,Kotlin,,"Java, JavaScript, Ruby, Shell",Kotlin,"Java, JavaScript, Ruby, Kotlin",Трудно сказать,Swift,Только книги и документацию (не прибегая к курсам),10+,3,33,Нет,Да
1/3/2018 10:10:28,Pascal/Delphi,Да,Java,,"PL/SQL, Kotlin",Kotlin,,Да,Kotlin,Только книги и документацию (не прибегая к курсам),1,2,28,Да,Нет
1/3/2018 10:10:29,Pascal/Delphi,Да,Java,,"JavaScript, SQL",Java,Java,Трудно сказать,,Офлайн курсы,5,2,26,Да,Да
1/3/2018 10:10:31,Pascal/Delphi,Да,Java,,,Java,Java,Да,Go,Офлайн курсы,2,2,,Да,Нет
1/3/2018 10:10:41,PHP,Да,PHP,,"Java, JavaScript, Python",Java,"PHP, Python, C++",Да,Java,Только книги и документацию (не прибегая к курсам),<1,1,22,Да,Да
1/3/2018 10:10:45,Perl,Да,Perl,,JavaScript,Java,JavaScript,Да,Java,Только книги и документацию (не прибегая к курсам),2,2,28,Да,Не помню
1/3/2018 10:10:47,Pascal/Delphi,Да,C#,,"JavaScript, Python",C#,"JavaScript, C#, Python",Нет,,Только книги и документацию (не прибегая к курсам),5,5,26,Да,Да
1/3/2018 10:10:48,Java,Да,Java,,"JavaScript, Python",Java,Java,Да,Python,,5,4,29,Да,Да
1/3/2018 10:10:48,Pascal/Delphi,Да,Java,,JavaScript,Java,,Трудно сказать,,Только книги и документацию (не прибегая к курсам),2,2,31,Да,Да
1/3/2018 10:10:50,Java,Да,Java,,"JavaScript, Python",Java,Java,Да,Python,,5,4,29,Да,Да
1/3/2018 10:10:51,C#,Да,C++,,"C#, C++",C++,"C#, C++",Да,Swift,Онлайн курсы,<1,1,30,Да,Нет
1/3/2018 10:11:01,PHP,Да,TypeScript,,"JavaScript, TypeScript",TypeScript,"JavaScript, TypeScript",Нет,,Только книги и документацию (не прибегая к курсам),9,7,27,Да,Да
1/3/2018 10:11:03,Pascal/Delphi,Да,Java,,"JavaScript, PL/SQL",Java,,Трудно сказать,,Только книги и документацию (не прибегая к курсам),5,4,28,Да,Не помню
1/3/2018 10:11:26,Pascal/Delphi,Да,PHP,,JavaScript,Go,PHP,Да,Go,Онлайн курсы,2,2,22,Да,Нет
1/3/2018 10:11:28,Pascal/Delphi,Да,PHP,,"JavaScript, Go",Go,,Трудно сказать,,,8,10+,30,Да,Не помню
1/3/2018 10:11:39,C,Да,Perl,,"PL/SQL, Solidity",JavaScript,MQL,Да,JavaScript,Только книги и документацию (не прибегая к курсам),4,2,41,Да,Не помню
1/3/2018 10:11:40,Java,Да,JavaScript,,TypeScript,TypeScript,TypeScript,Да,Solidity,Только книги и документацию (не прибегая к курсам),<1,<1,23,Да,Нет
1/3/2018 10:11:42,Java,Да,JavaScript,,PHP,JavaScript,"JavaScript, PHP",Нет,JavaScript,Офлайн курсы,3,1,35,Нет,Не помню
1/3/2018 10:11:44,Pascal/Delphi,Да,Ruby,,Python,Ruby,"JavaScript, Ruby",Да,C,Только книги и документацию (не прибегая к курсам),10+,10+,30,Нет,Да
1/3/2018 10:11:46,C#,Да,Java,,"JavaScript, C#",Java,,Трудно сказать,C++,Только книги и документацию (не прибегая к курсам),5,5,29,Да,Да
1/3/2018 10:11:47,Pascal/Delphi,Да,C#,,"Python, PL/SQL, Shell",C#,,Да,TypeScript,Онлайн курсы,3,1,30,Да,Нет
1/3/2018 10:11:50,Pascal/Delphi,Да,Java,,"JavaScript, Python, Scala, TypeScript, Kotlin, Shell",Python,"Java, Scala",Нет,,Только книги и документацию (не прибегая к курсам),10+,8,31,Да,Не помню
1/3/2018 10:11:55,Pascal,Да,Java,,"JavaScript, Scala",Java,,Трудно сказать,,Онлайн курсы,9,7,32,Да,Да
1/3/2018 10:12:08,Pascal/Delphi,Нет,,"Swift, Objective-C",C,Swift,,Трудно сказать,,Только книги и документацию (не прибегая к курсам),6,6,29,Да,Не помню
1/3/2018 10:12:20,C++,Да,Apex,,JavaScript,,,Да,Python,Онлайн курсы,2,2,23,Да,Нет
1/3/2018 10:12:22,C++,Да,C#,,"JavaScript, T-SQL",C#,,Да,Objective-C,Только книги и документацию (не прибегая к курсам),1,1,21,Да,Да
1/3/2018 10:12:27,C,Да,Java,,PL/SQL,Java,Java,Да,JavaScript,Только книги и документацию (не прибегая к курсам),1,1,24,Да,Нет
1/3/2018 10:12:38,C++,Да,Java,,"JavaScript, PL/SQL, Kotlin",Java,Java,Трудно сказать,Python,Только книги и документацию (не прибегая к курсам),4,4,29,Да,Да
1/3/2018 10:12:53,C#,Да,PHP,,JavaScript,PHP,PHP,Да,Kotlin,Только книги и документацию (не прибегая к курсам),1,1,22,Да,Да
1/3/2018 10:12:56,Python,Да,Python,,Shell,Python,"C#, Python",Трудно сказать,C#,Онлайн курсы,6,3,30,Да,Да
1/3/2018 10:13:01,Pascal/Delphi,Да,TypeScript,,"JavaScript, PHP, Scala",Scala,"JavaScript, Scala",Да,reasonml,Только книги и документацию (не прибегая к курсам),7,4,33,Нет,Нет
1/3/2018 10:13:09,C#,Да,C#,,JavaScript,C#,C#,Да,Python,Онлайн курсы,2,2,23,Да,Не помню
1/3/2018 10:13:15,Pascal/Delphi,Да,Python,,"JavaScript, PHP, C, Shell",Python,"PHP, Python",Трудно сказать,Java,Только книги и документацию (не прибегая к курсам),10+,7,32,Да,Нет
1/3/2018 10:13:22,PHP,Да,PHP,,JavaScript,PHP,JavaScript,Да,JavaScript,Онлайн курсы,4,4,25,Да,Нет
1/3/2018 10:13:25,Basic,Да,Python,,"C#, Shell, CMD, Powershell",Python,,Трудно сказать,,Только книги и документацию (не прибегая к курсам),10+,5,30,Нет,Не помню
1/3/2018 10:13:35,Go,Да,Go,,"Python, Ruby, PL/SQL, Shell",Go,,Да,Rust,Только книги и документацию (не прибегая к курсам),5,<1,32,Да,Нет
1/3/2018 10:13:46,C#,Да,Java,,,Java,Java,Трудно сказать,Kotlin,Только книги и документацию (не прибегая к курсам),5,3,32,Да,Да
1/3/2018 10:13:47,Basic,Да,PHP,,JavaScript,PHP,"JavaScript, PHP",Нет,JavaScript,Только книги и документацию (не прибегая к курсам),10+,10+,34,Да,Да
1/3/2018 10:13:59,Pascal/Delphi,Да,PHP,,JavaScript,PHP,PHP,Трудно сказать,JavaScript,Онлайн курсы,<1,<1,24,Да,Нет
1/3/2018 10:14:00,C++,Да,Java,,,Java,Java,Да,Scala,Только книги и документацию (не прибегая к курсам),2,2,28,Да,Нет
1/3/2018 10:14:00,Pascal/Delphi,Да,Java,,"JavaScript, TypeScript",Java,Java,Да,JavaScript,Только книги и документацию (не прибегая к курсам),2,2,21,Да,Нет
1/3/2018 10:14:00,Pascal/Delphi,Да,Python,,"JavaScript, Python, C++, C, PL/SQL, Go, Shell",Go,"JavaScript, Python",Да,Go,Только книги и документацию (не прибегая к курсам),1,1,25,Да,Нет
1/3/2018 10:14:05,Pascal/Delphi,Да,Java,,"C++, C",Java,Java,Да,Kotlin,Только книги и документацию (не прибегая к курсам),6,4,30,Да,Не помню
1/3/2018 10:14:10,C++,Да,Java,,"C++, Kotlin",Java,"Java, C++, R, Kotlin",Да,Rust,Только книги и документацию (не прибегая к курсам),2,2,30,Да,Не помню
1/3/2018 10:14:13,PHP,Да,PHP,,JavaScript,JavaScript,PHP,Да,Swift,Онлайн курсы,2,2,27,Да,Да
1/3/2018 10:14:28,C,Нет,,"JavaScript, PHP",,Python,"JavaScript, PHP",Трудно сказать,Python,Только книги и документацию (не прибегая к курсам),<1,<1,21,Да,Нет
1/3/2018 10:14:30,C,Да,Ruby,,JavaScript,Ruby,"JavaScript, Ruby, C",Да,Erlang,Онлайн курсы,1,1,21,Да,Не помню
1/3/2018 10:14:37,PHP,Да,JavaScript,,"Python, Ruby, Go, TypeScript",JavaScript,,Да,,Только книги и документацию (не прибегая к курсам),10+,3,29,Да,Не помню
1/3/2018 10:14:44,Pascal/Delphi,Да,PHP,,JavaScript,PHP,"JavaScript, PHP",Да,C#,Онлайн курсы,3,3,23,Да,Не помню
1/3/2018 10:14:45,Java,Да,Java,,"JavaScript, Python",Python,"Java, Python, Scala",Да,Scala,Онлайн курсы,2,2,27,Да,Да
1/3/2018 10:14:46,Basic,Да,Python,,JavaScript,Python,"Python, Go",Да,Go,Онлайн курсы,6,3,29,Да,Да
1/3/2018 10:15:01,Pascal/Delphi,Да,C#,,"JavaScript, TypeScript",R,"JavaScript, C#, R",Да,Python,Онлайн курсы,10+,9,32,Да,Не помню
1/3/2018 10:15:18,Pascal/Delphi,Да,Scala,,Java,Scala,"Java, Scala, Haskell",Да,Go,Онлайн курсы,5,3,27,Да,Да
1/3/2018 10:15:25,Basic,Нет,,"JavaScript, C#, 1C, T-SQL, TypeScript","PHP, PL/SQL, SQL (SQLite & MySQL)",C#,"JavaScript, C#, T-SQL, TypeScript, SQL (SQLite)",Трудно сказать,Java,Только книги и документацию (не прибегая к курсам),10+,10+,35,Да,Нет
1/3/2018 10:15:27,C#,Да,C#,,JavaScript,JavaScript,,Да,Java,Онлайн курсы,,<1,22,Да,Нет
1/3/2018 10:16:03,Pascal/Delphi,Да,Kotlin,,Java,Kotlin,"Java, Kotlin",Трудно сказать,,Только книги и документацию (не прибегая к курсам),<1,<1,22,Да,Нет
1/3/2018 10:16:10,Pascal/Delphi,Да,Java,,JavaScript,Kotlin,Java,Да,Kotlin,Только книги и документацию (не прибегая к курсам),4,4,25,Да,Да
1/3/2018 10:16:18,PHP,Да,PHP,,"JavaScript, TypeScript",Python,,Да,Python,Только книги и документацию (не прибегая к курсам),2,2,24,Да,Нет
1/3/2018 10:16:24,Pascal/Delphi,Да,Python,,Shell,Python,Python,Нет,,Только книги и документацию (не прибегая к курсам),3,2,24,Да,Не помню
1/3/2018 10:16:56,PHP,Да,JavaScript,,PHP,PHP,PHP,Нет,PHP,Онлайн курсы,2,2,34,Да,Да
1/3/2018 10:17:11,Pascal/Delphi,Нет,,"Java, C#, C++","Java, PL/SQL",Java,,Трудно сказать,Swift,Онлайн курсы,2,<1,23,Да,Не помню
1/3/2018 10:17:22,Java,Да,C#,,"Java, JavaScript, PL/SQL, Perl",C#,C#,Да,Swift,Только книги и документацию (не прибегая к курсам),6,2,40,Да,Нет
1/3/2018 10:17:23,Basic,Да,PHP,,"JavaScript, Shell",PHP,,Трудно сказать,Python,Только книги и документацию (не прибегая к курсам),10+,5,38,Да,Нет
1/3/2018 10:17:23,Basic,Да,Scala,,"Java, Scala",Scala,"Python, Octave/Matlab",Да,Python,Онлайн курсы,10+,<1,33,Нет,Да
1/3/2018 10:17:26,C,Да,JavaScript,,PHP,JavaScript,"JavaScript, Swift",Трудно сказать,,Только книги и документацию (не прибегая к курсам),1,1,22,Да,Нет
1/3/2018 10:17:30,Basic,Да,PHP,,JavaScript,PHP,,Да,Go,Только книги и документацию (не прибегая к курсам),2,2,20,Да,Не помню
1/3/2018 10:17:30,Basic,Нет,,"Java, Scala","JavaScript, Python",Java,,Нет,,Онлайн курсы,5,5,26,Нет,Нет
1/3/2018 10:17:32,Basic,Да,C,,Python,C,"C, Forth",Да,Rust,Только книги и документацию (не прибегая к курсам),10+,10+,31,Да,Да
1/3/2018 10:17:40,C++,Да,C++,,"C, Shell",Go,,Да,Go,Онлайн курсы,10+,<1,34,Да,Да
1/3/2018 10:17:44,PHP,Да,PHP,,"JavaScript, TypeScript",PHP,"JavaScript, PHP, TypeScript",Трудно сказать,,Только книги и документацию (не прибегая к курсам),5,5,29,Да,Не помню
1/3/2018 10:17:45,R,Да,Python,,"T-SQL, R, Shell",Python,R,Да,Scala,Онлайн курсы,4,1,25,Да,Нет
1/3/2018 10:17:57,Basic,Да,PHP,,,PHP,PHP,Да,Python,Только книги и документацию (не прибегая к курсам),3,3,25,Да,Не помню
1/3/2018 10:17:59,Pascal/Delphi,Да,PHP,,"JavaScript, PL/SQL, Shell",PHP,"JavaScript, PHP, Go",Да,Go,Только книги и документацию (не прибегая к курсам),8,6,28,Да,Не помню
1/3/2018 10:18:09,C,Нет,,"JavaScript, Ruby, TypeScript, Rust","JavaScript, Ruby, C, TypeScript, Rust, Shell",TypeScript,"JavaScript, Python, Ruby, TypeScript, Rust",Да,Rust,Только книги и документацию (не прибегая к курсам),10+,9,29,Да,Да
1/3/2018 10:18:10,Java,Нет,,JavaScript,JavaScript,Go,"JavaScript, TypeScript",Да,Go,Только книги и документацию (не прибегая к курсам),1,1,25,Да,Нет
1/3/2018 10:18:19,Python,Да,Python,,TPL,Python,Python,Трудно сказать,JavaScript,Онлайн курсы,7,6,38,Да,Нет
1/3/2018 10:18:20,Java,Да,Kotlin,,Kotlin,Kotlin,Java,Да,Python,Только книги и документацию (не прибегая к курсам),2,2,19,Да,Да
1/3/2018 10:18:21,Java,Нет,,"Java, JavaScript, C#, C++, C",C#,C#,C#,Да,Java,Офлайн курсы,<1,<1,,Да,Нет
1/3/2018 10:18:23,C#,Да,Go,,"JavaScript, PL/SQL",Go,"JavaScript, Go",Трудно сказать,,Только книги и документацию (не прибегая к курсам),<1,<1,,Да,Да
1/3/2018 10:18:23,C#,Да,PHP,,JavaScript,JavaScript,PHP,Да,Python,Онлайн курсы,2,2,27,Да,Нет
1/3/2018 10:18:27,Pascal/Delphi,Да,C#,,Pascal/Delphi,C#,"C#, Pascal/Delphi",Да,TypeScript,Только книги и документацию (не прибегая к курсам),10+,5,33,Да,Не помню
1/3/2018 10:18:32,C++,Да,PHP,,"JavaScript, PL/SQL",PHP,"JavaScript, PHP, C++",Да,Swift,Только книги и документацию (не прибегая к курсам),3,3,24,Да,Нет
1/3/2018 10:18:35,Java,Да,Scala,,"Java, Go",Scala,Scala,Нет,,Только книги и документацию (не прибегая к курсам),9,3,35,Да,Не помню
1/3/2018 10:18:48,JavaScript,Да,JavaScript,,"JavaScript, TypeScript",JavaScript,"JavaScript, TypeScript",Да,TypeScript,Только книги и документацию (не прибегая к курсам),<1,<1,28,Да,Не помню
1/3/2018 10:18:57,JavaScript,Да,JavaScript,,PHP,TypeScript,TypeScript,Да,TypeScript,Только книги и документацию (не прибегая к курсам),4,3,32,Да,Да
1/3/2018 10:18:58,Java,Да,JavaScript,,C#,JavaScript,,Да,C#,Только книги и документацию (не прибегая к курсам),2,2,22,Да,Да
1/3/2018 10:19:01,Pascal/Delphi,Да,Java,,"JavaScript, PL/SQL",Java,,Трудно сказать,,Только книги и документацию (не прибегая к курсам),9,2,31,Да,Нет
1/3/2018 10:19:42,Pascal/Delphi,Да,C#,,"JavaScript, T-SQL, TypeScript",C#,C#,Нет,,Только книги и документацию (не прибегая к курсам),4,4,34,Да,Да
1/3/2018 10:19:42,C#,Да,C#,,"JavaScript, T-SQL",,"JavaScript, C#",Да,TypeScript,Офлайн курсы,3,2,27,Да,Да
1/3/2018 10:19:45,C++,Да,PHP,,JavaScript,PHP,"JavaScript, PHP",Да,TypeScript,Только книги и документацию (не прибегая к курсам),1,1,35,Да,Нет
1/3/2018 10:19:55,C++,Да,ActionScript,,"Java, JavaScript, PHP, C++, ActionScript",ActionScript,"Java, JavaScript, PHP, C++, ActionScript",Да,JavaScript,Только книги и документацию (не прибегая к курсам),8,8,23,Да,Нет
1/3/2018 10:19:58,C,Да,C,,"Python, C++, Shell",C,Rust,Трудно сказать,Go,Только книги и документацию (не прибегая к курсам),10+,10+,31,Да,Да
1/3/2018 10:19:58,Java,Да,Java,,PL/SQL,Java,"Java, Kotlin",Да,Kotlin,Только книги и документацию (не прибегая к курсам),2,2,22,Да,Не помню
1/3/2018 10:20:01,Pascal/Delphi,Да,PHP,,"JavaScript, PL/SQL, Shell",C#,PHP,Да,C,Онлайн курсы,2,2,25,Да,Нет
1/3/2018 10:20:08,C++,Да,JavaScript,,"PL/SQL, TypeScript",JavaScript,"JavaScript, PHP",Да,Python,Онлайн курсы,<1,<1,21,Да,Нет
1/3/2018 10:20:19,PL/SQL,Да,PL/SQL,,T-SQL,Python,,Да,Python,Офлайн курсы,<1,<1,26,Да,Нет
1/3/2018 10:20:26,Pascal/Delphi,Да,PHP,,JavaScript,Go,PHP,Да,Go,Только книги и документацию (не прибегая к курсам),8,8,30,Да,Да
1/3/2018 10:20:32,Pascal/Delphi,Да,Swift,,"Ruby, Objective-C",Swift,"Swift, Objective-C",Нет,,,5,4,28,Да,Не помню
1/3/2018 10:20:51,Pascal/Delphi,Да,Java,,"PL/SQL, Shell",Java,Java,Трудно сказать,Kotlin,Офлайн курсы,10+,10+,33,Да,Да
1/3/2018 10:20:52,Pascal/Delphi,Да,PHP,,"JavaScript, Python, Perl",PHP,PHP,,,Только книги и документацию (не прибегая к курсам),10+,10+,32,Нет,Нет
1/3/2018 10:20:57,Java,Да,Python,,"JavaScript, Python, PL/SQL, T-SQL",Python,"JavaScript, Python, PL/SQL, T-SQL",Да,Go,Только книги и документацию (не прибегая к курсам),5,2,32,Да,Да
1/3/2018 10:21:03,Pascal/Delphi,Да,C#,,"C#, T-SQL",C#,"JavaScript, C#, PHP",Нет,,Только книги и документацию (не прибегая к курсам),3,3,29,Да,Нет
1/3/2018 10:21:09,C++,Да,PHP,,"JavaScript, PL/SQL, TypeScript",PHP,,Трудно сказать,,Только книги и документацию (не прибегая к курсам),2,2,27,Да,Нет
1/3/2018 10:21:13,Python,Да,Python,,JavaScript,Python,,Нет,,Только книги и документацию (не прибегая к курсам),3,3,26,Да,Да
1/3/2018 10:21:19,C#,Да,Ruby,,JavaScript,Ruby,"JavaScript, C#, Ruby",Нет,,Только книги и документацию (не прибегая к курсам),4,4,33,Да,Да
1/3/2018 10:21:38,Pascal/Delphi,Да,C#,,"Python, 1C",C#,"C#, Python, 1C",Трудно сказать,,Онлайн курсы,5,2,29,Да,Нет
1/3/2018 10:21:40,PHP,Да,Java,,Python,Kotlin,"Java, TypeScript, Kotlin",Да,Go,Онлайн курсы,7,7,28,Да,Да
1/3/2018 10:21:41,Java,Да,Java,,T-SQL,Java,,Да,Java,Онлайн курсы,<1,<1,34,Да,Нет
1/3/2018 10:21:43,Pascal/Delphi,Да,Java,,,Python,,Да,C#,Онлайн курсы,<1,1,21,Да,Нет
1/3/2018 10:21:48,Pascal/Delphi,Да,PHP,,,Java,,Да,Java,Только книги и документацию (не прибегая к курсам),<1,<1,26,Да,Нет
1/3/2018 10:21:49,Pascal,Да,Java,,"Java, JavaScript, C#, PL/SQL, Shell",Java,Java,Да,C#,Онлайн курсы,10+,5,36,Да,Нет
1/3/2018 10:21:49,Swift,Да,Objective-C,,"Swift, C",Swift,Swift,Трудно сказать,Java,Онлайн курсы,2,<1,33,Да,Да
1/3/2018 10:21:52,Swift,Да,Swift,,Objective-C,Swift,Swift,Трудно сказать,,Онлайн курсы,,1,28,Да,Не помню
1/3/2018 10:21:59,JavaScript,Да,Java,,,Java,,Нет,,Только книги и документацию (не прибегая к курсам),5,3,28,Да,Не помню
1/3/2018 10:21:59,Basic,Да,Python,,"JavaScript, C#, PHP",Python,"C#, PHP, Python",Трудно сказать,C++,Онлайн курсы,3,1,23,Да,Нет
1/3/2018 10:21:59,Basic,Да,JavaScript,,PHP,TypeScript,JavaScript,Да,TypeScript,Только книги и документацию (не прибегая к курсам),2,1,35,Да,Да
1/3/2018 10:22:04,Basic,Да,Scala,,"Python, Shell",Java,"PHP, Scala",Да,Clojure,Только книги и документацию (не прибегая к курсам),5,2,26,Да,Да
1/3/2018 10:22:04,C,Да,Python,,Shell,Python,Python,,,Онлайн курсы,5,3,30,Да,Нет
1/3/2018 10:22:06,C++,Да,Java,,JavaScript,Kotlin,,Да,Kotlin,Только книги и документацию (не прибегая к курсам),3,3,23,Да,Да
1/3/2018 10:22:16,JavaScript,Да,JavaScript,,"JavaScript, TypeScript",Python,JavaScript,Трудно сказать,,Только книги и документацию (не прибегая к курсам),<1,<1,23,Да,Нет
1/3/2018 10:22:20,1C,Да,1C,,1C,Swift,Swift,Трудно сказать,Objective-C,Только книги и документацию (не прибегая к курсам),2,2,25,Да,Нет
1/3/2018 10:22:30,PHP,Да,Python,,Python,Go,"Python, Go",Нет,,,2,2,24,Да,Да
1/3/2018 10:22:30,Basic,Да,Java,,Python,Java,,Трудно сказать,,Только книги и документацию (не прибегая к курсам),7,2,,Да,Да
1/3/2018 10:22:31,C,Да,Go,,"JavaScript, Go",JavaScript,,Трудно сказать,,Онлайн курсы,<1,<1,33,Да,Не помню
1/3/2018 10:22:38,QBasic,Да,PHP,,"JavaScript, Shell",PHP,"PHP, Python, Go",Да,Go,Только книги и документацию (не прибегая к курсам),4,3,23,Да,Не помню
1/3/2018 10:22:47,C++,Да,PHP,,"JavaScript, T-SQL",C#,"C#, PHP",Да,C#,Только книги и документацию (не прибегая к курсам),<1,<1,23,Да,Нет
1/3/2018 10:22:59,C++,Да,Clojure,,"Go, Rust",Clojure,"Python, Go, Clojure, Rust",Да,Rust,Только книги и документацию (не прибегая к курсам),10+,4,30,Да,Да
1/3/2018 10:23:08,C,Да,PHP,,JavaScript,JavaScript,PHP,Да,Go,Только книги и документацию (не прибегая к курсам),4,3,34,Да,Нет
