"","Timestamp","FirstLanguage","MainLanguage","NowLanguage","Main2","AdditionalLanguages1","NextLanguage","PetProjectsLanguages","Learn","LearnLanguage","LearnWay","ExperienceInProgrammingYears","ExperienceInLanguageYears","AgeYears","InUA","InPrev","ExperienceInProgramming","ExperienceInLanguage","Age"
"68","1/2/2019 10:19:16","Pascal/Delphi","Так/Да","Ruby","","JavaScript, Shell","Ruby","JavaScript, Ruby","Так / Да","Swift","Онлайн-курси // Онлайн-курсы",2,2,29,"Так /  Да","Так  / Да","2","2",29
"69","1/2/2019 10:19:20","Java","Так/Да","Java","","JavaScript, C#, C","Java","JavaScript, C++, TypeScript, C","Так / Да","JavaScript","Офлайн-курси // Офлайн-курсы",1,1,28,"Так /  Да","Ні / Нет","1","1",28
"71","1/2/2019 10:19:25","PHP","Так/Да","PHP","","JavaScript, Java","Go","PHP","Так / Да","Go","Книги та документацію // Книги и документацию",9,8,28,"Так /  Да","Ні / Нет","9","8",28
"72","1/2/2019 10:19:44","Pascal/Delphi","Так/Да","JavaScript","","PHP, TypeScript","JavaScript","JavaScript","Ні / Нет","none","Книги та документацію // Книги и документацию",14,5,30,"Так /  Да","Ні / Нет",NA,"5",30
"73","1/2/2019 10:19:47","PHP","Так/Да","PHP","","JavaScript","PHP","PHP","Так / Да","JavaScript","Онлайн-курси // Онлайн-курсы",2,2,32,"Так /  Да","Ні / Нет","2","2",32
"74","1/2/2019 10:19:50","Basic","Так/Да","PHP","","JavaScript","PHP","PHP","Ні / Нет","none","Онлайн-курси // Онлайн-курсы",13,13,34,"Так /  Да","Не пам'ятаю /  Не помню",NA,NA,34
"75","1/2/2019 10:19:52","C#","Так/Да","Python","","Shell","Python","","Так / Да","PHP","Книги та документацію // Книги и документацию",0,4,27,"Ні / Нет","Не пам'ятаю /  Не помню",NA,"4",27
"77","1/2/2019 10:20:02","C","Так/Да","C++","","Python","Python","Python","Ні / Нет","none","",2,2,23,"Так /  Да","Ні / Нет","2","2",23
"78","1/2/2019 10:20:08","Pascal/Delphi","Так/Да","JavaScript","","JavaScript, TypeScript","Java","Java, JavaScript, Python, TypeScript","Так / Да","Go","Книги та документацію // Книги и документацию",7,4,33,"Так /  Да","Не пам'ятаю /  Не помню","7","4",33
"79","1/2/2019 10:20:12","C","Так/Да","Python","","JavaScript, Shell, TypeScript","JavaScript","JavaScript, Python","","none","",2,2,22,"Так /  Да","Так  / Да","2","2",22
"80","1/2/2019 10:20:14","Pascal/Delphi","Так/Да","C#","","1C, T-SQL","C#","JavaScript, Swift","Так / Да","Swift","Книги та документацію // Книги и документацию",10,4,35,"Так /  Да","Не пам'ятаю /  Не помню",NA,"4",35
"81","1/2/2019 10:20:16","C#","Так/Да","C#","","Python, F#","C#","C#","Так / Да","F#","Книги та документацію // Книги и документацию",4,4,35,"Так /  Да","Ні / Нет","4","4",35
"82","1/2/2019 10:20:19","Basic","Так/Да","PHP","","JavaScript, Shell","PHP","Swift","Так / Да","Go","",7,5,36,"Так /  Да","Не пам'ятаю /  Не помню","7","5",36
"83","1/2/2019 10:20:29","Basic","Так/Да","C#","","JavaScript, T-SQL","C#","JavaScript, C#","Так / Да","Python","Онлайн-курси // Онлайн-курсы",11,9,32,"Так /  Да","Не пам'ятаю /  Не помню",NA,"9",32
"84","1/2/2019 10:20:32","C#","Так/Да","C#","","JavaScript, Java","C#","","Так / Да","JavaScript","Онлайн-курси // Онлайн-курсы",3,2,31,"Так /  Да","Так  / Да","3","2",31
"85","1/2/2019 10:20:42","Java","Так/Да","Java","","JavaScript, Kotlin","Java","Java, JavaScript, Kotlin","Так / Да","Kotlin","Онлайн-курси // Онлайн-курсы",6,6,28,"Так /  Да","Так  / Да","6","6",28
"86","1/2/2019 10:20:43","basic","Так/Да","C#","","JavaScript, T-SQL","C#","C#, TypeScript, T-SQL","Ні / Нет","none","Книги та документацію // Книги и документацию",17,15,43,"Так /  Да","Так  / Да",NA,NA,43
"87","1/2/2019 10:20:43","Pascal/Delphi","Так/Да","Swift","","JavaScript, Java, PHP, TypeScript, Objective-C","Swift","JavaScript, Swift","Ні / Нет","none","Книги та документацію // Книги и документацию",8,4,28,"Так /  Да","Ні / Нет","8","4",28
"88","1/2/2019 10:21:00","Pascal/Delphi","Так/Да","Java","","JavaScript","Java","Java, JavaScript","Ні / Нет","none","",9,9,30,"Так /  Да","Так  / Да","9","9",30
"89","1/2/2019 10:21:08","Basic","Так/Да","Python","","Go","Python","","Так / Да","Rust","Книги та документацію // Книги и документацию",6,5,34,"Так /  Да","Не пам'ятаю /  Не помню","6","5",34
"91","1/2/2019 10:21:21","Basic","Так/Да","JavaScript","","JavaScript, Shell, C#, Swift, Go, Kotlin, T-SQL","JavaScript","JavaScript, Go","Так / Да","Go","Онлайн-курси // Онлайн-курсы",10,7,32,"Так /  Да","Ні / Нет",NA,"7",32
"92","1/2/2019 10:21:30","Basic","Так/Да","Scala","","JavaScript","Scala","","Так / Да","JavaScript","Книги та документацію // Книги и документацию",20,5,40,"Так /  Да","Так  / Да",NA,"5",40
"93","1/2/2019 10:21:38","C#","Так/Да","C#","","JavaScript, TypeScript, T-SQL","C#","C#","Так / Да","F#","Книги та документацію // Книги и документацию",3,3,30,"Так /  Да","Ні / Нет","3","3",30
"94","1/2/2019 10:21:54","JavaScript","Так/Да","JavaScript","","","TypeScript","","Ні / Нет","none","Книги та документацію // Книги и документацию",6,6,30,"Ні / Нет","Не пам'ятаю /  Не помню","6","6",30
"95","1/2/2019 10:22:13","Basic","Так/Да","C++","","C#, Python, Swift","C++","C++, Swift","Так / Да","Python","Книги та документацію // Книги и документацию",11,8,31,"Так /  Да","Ні / Нет",NA,"8",31
"96","1/2/2019 10:22:21","Basic","Так/Да","PHP","","JavaScript, Shell, Python, Go, TypeScript","PHP","Java, JavaScript, PHP, Python, Go, TypeScript, C","Так / Да","Swift","Книги та документацію // Книги и документацию",8,8,37,"Так /  Да","Так  / Да","8","8",37
"97","1/2/2019 10:22:22","C#","Так/Да","JavaScript","","","JavaScript","","Ні / Нет","none","Книги та документацію // Книги и документацию",3,3,21,"Так /  Да","Ні / Нет","3","3",21
"98","1/2/2019 10:22:25","Basic","Так/Да","C","","Shell, Java, Python, C++, Go","Go","","Ні / Нет","none","Книги та документацію // Книги и документацию",12,7,34,"Так /  Да","Так  / Да",NA,"7",34
"99","1/2/2019 10:22:28","Pascal/Delphi","Так/Да","Kotlin","","Java","Kotlin","Java, Kotlin","Ні / Нет","none","Книги та документацію // Книги и документацию",9,2,30,"Ні / Нет","Не пам'ятаю /  Не помню","9","2",30
"100","1/2/2019 10:22:39","Pascal/Delphi","Так/Да","JavaScript","","JavaScript, Shell, Java","JavaScript","","Так / Да","Python","Онлайн-курси // Онлайн-курсы",NA,NA,NA,"Ні / Нет","Не пам'ятаю /  Не помню",NA,NA,NA
"101","1/2/2019 10:22:44","Pascal/Delphi","Так/Да","C++","","Lisp","C++","Python, C++","Так / Да","Python","Книги та документацію // Книги и документацию",2,2,23,"Так /  Да","Так  / Да","2","2",23
"102","1/2/2019 10:22:45","Basic","Так/Да","C#","","JavaScript, TypeScript","C#","TypeScript","Так / Да","TypeScript","Онлайн-курси // Онлайн-курсы",9,8,33,"Так /  Да","Ні / Нет","9","8",33
"103","1/2/2019 10:22:52","Pascal/Delphi","Так/Да","Ruby","","JavaScript, Crystal","Ruby","Ruby, Crystal","Так / Да","Go","Книги та документацію // Книги и документацию",5,5,31,"Так /  Да","Так  / Да","5","5",31
"104","1/2/2019 10:22:53","C++","Так/Да","T-SQL","","R","Python","","Так / Да","Python","Онлайн-курси // Онлайн-курсы",0.5,3,31,"Так /  Да","Ні / Нет",NA,"3",31
"105","1/2/2019 10:23:12","Basic","Так/Да","C#","","T-SQL","C#","C#","Так / Да","Python","Онлайн-курси // Онлайн-курсы",23,10,42,"Так /  Да","Не пам'ятаю /  Не помню",NA,NA,42
"106","1/2/2019 10:23:13","PHP","Так/Да","JavaScript","","","TypeScript","JavaScript","Так / Да","TypeScript","Книги та документацію // Книги и документацию",7,5,26,"Так /  Да","Так  / Да","7","5",26
"107","1/2/2019 10:23:32","C","Так/Да","PHP","","JavaScript","PHP","","Так / Да","Go","Книги та документацію // Книги и документацию",3,3,34,"Так /  Да","Не пам'ятаю /  Не помню","3","3",34
"108","1/2/2019 10:23:40","Basic","Так/Да","C++","","C#, T-SQL","C#","","Ні / Нет","none","Книги та документацію // Книги и документацию",20,19,37,"Ні / Нет","Ні / Нет",NA,NA,37
"109","1/2/2019 10:23:43","Basic","Так/Да","PHP","","JavaScript, TypeScript","PHP","PHP, Go, TypeScript","Так / Да","Go","Книги та документацію // Книги и документацию",15,12,37,"Так /  Да","Ні / Нет",NA,NA,37
"110","1/2/2019 10:23:45","Pascal/Delphi","Так/Да","PHP","","JavaScript, Shell","JavaScript","JavaScript, PHP","Ні / Нет","none","Онлайн-курси // Онлайн-курсы",8,8,29,"Так /  Да","Так  / Да","8","8",29
"111","1/2/2019 10:24:01","PHP","Так/Да","Ruby","","JavaScript, Go, T-SQL","Go","Ruby, Go","Так / Да","Go","Книги та документацію // Книги и документацию",5,3,26,"Ні / Нет","Ні / Нет","5","3",26
"112","1/2/2019 10:24:04","Java","Так/Да","Java","","JavaScript","Java","Java","Ні / Нет","none","Книги та документацію // Книги и документацию",1,2,22,"Так /  Да","Не пам'ятаю /  Не помню","1","2",22
"113","1/2/2019 10:24:06","Basic","Так/Да","PHP","","JavaScript","Go","","Так / Да","Ruby","Книги та документацію // Книги и документацию",4,3,32,"Так /  Да","Так  / Да","4","3",32
"114","1/2/2019 10:24:12","Pascal/Delphi","Так/Да","Java","","JavaScript, TypeScript","Java","Java, JavaScript, TypeScript","Так / Да","Scala","Книги та документацію // Книги и документацию",15,10,36,"Так /  Да","Не пам'ятаю /  Не помню",NA,NA,36
"115","1/2/2019 10:24:21","PHP","Так/Да","Ruby","","JavaScript, Shell, Java","Ruby","Java, JavaScript, Ruby","Так / Да","Go","Онлайн-курси // Онлайн-курсы",7,4,34,"Так /  Да","Так  / Да","7","4",34
"116","1/2/2019 10:24:24","Objective-C","Так/Да","Java","","C++, Swift, C","Swift","Swift","Ні / Нет","none","Онлайн-курси // Онлайн-курсы",8,1,30,"Так /  Да","Ні / Нет","8","1",30
"117","1/2/2019 10:24:28","Java","Так/Да","Python","","Python","Java","Java","Так / Да","Python","Книги та документацію // Книги и документацию",NA,NA,NA,"Так /  Да","Так  / Да",NA,NA,NA
"118","1/2/2019 10:24:35","C++","Так/Да","Java","","JavaScript, PL-SQL","Java","Java, PL-SQL","Ні / Нет","none","Книги та документацію // Книги и документацию",1,2,21,"Так /  Да","Ні / Нет","1","2",21
"119","1/2/2019 10:24:50","Pascal/Delphi","Так/Да","Java","","Kotlin, Groovy","Kotlin","Java, JavaScript, Kotlin","Так / Да","Go","Онлайн-курси // Онлайн-курсы",2,2,24,"Ні / Нет","Не пам'ятаю /  Не помню","2","2",24
"120","1/2/2019 10:25:08","Basic","Так/Да","Java","","JavaScript, Shell, Groovy","Java","","Ні / Нет","none","Книги та документацію // Книги и документацию",7,7,48,"Так /  Да","Ні / Нет","7","7",48
"123","1/2/2019 10:25:30","Java","Так/Да","Java","","Java","Java","Java","Ні / Нет","none","Онлайн-курси // Онлайн-курсы",2,1,33,"Так /  Да","Ні / Нет","2","1",33
"124","1/2/2019 10:25:37","C","Так/Да","PHP","","JavaScript","Go","JavaScript, PHP","Так / Да","JavaScript","Книги та документацію // Книги и документацию",6,6,29,"Так /  Да","Не пам'ятаю /  Не помню","6","6",29
"125","1/2/2019 10:25:38","Ruby","Так/Да","JavaScript","","","JavaScript","JavaScript","Ні / Нет","none","Книги та документацію // Книги и документацию",2,2,23,"Так /  Да","Не пам'ятаю /  Не помню","2","2",23
"126","1/2/2019 10:25:50","Pascal/Delphi","Так/Да","C#","","JavaScript, Java, C#, T-SQL","C#","Java, C#, C++, Objective-C, T-SQL","Ні / Нет","none","Книги та документацію // Книги и документацию",12,8,34,"Так /  Да","Ні / Нет",NA,"8",34
"127","1/2/2019 10:25:54","Basic","Так/Да","PHP","","JavaScript","PHP","JavaScript, PHP","Так / Да","Go","Офлайн-курси // Офлайн-курсы",10,8,30,"Так /  Да","Так  / Да",NA,"8",30
"129","1/2/2019 10:26:28","Pascal/Delphi","Так/Да","PHP","","JavaScript, PHP","Java","PHP","Ні / Нет","none","Книги та документацію // Книги и документацию",1,1,27,"Так /  Да","Ні / Нет","1","1",27
"130","1/2/2019 10:26:49","Pascal/Delphi","Так/Да","C++","","","C++","C++","Ні / Нет","none","",15,14,32,"Так /  Да","Не пам'ятаю /  Не помню",NA,NA,32
"131","1/2/2019 10:26:58","C","Так/Да","C#","","JavaScript, TypeScript, F#","TypeScript","JavaScript, C#, TypeScript, F#","Ні / Нет","none","Онлайн-курси // Онлайн-курсы",5,5,25,"Так /  Да","Так  / Да","5","5",25
"132","1/2/2019 10:26:59","PHP","Так/Да","Ruby","","JavaScript","Ruby","Ruby","Так / Да","Elixir","Онлайн-курси // Онлайн-курсы",8,6,31,"Так /  Да","Не пам'ятаю /  Не помню","8","6",31
"133","1/2/2019 10:27:14","C#","Так/Да","C#","","TypeScript, Pascal/Delphi","C#","C#","Так / Да","TypeScript","Онлайн-курси // Онлайн-курсы",7,7,29,"Так /  Да","Так  / Да","7","7",29
"134","1/2/2019 10:27:22","Pascal/Delphi","Так/Да","PHP","","JavaScript, C#, TypeScript, T-SQL","PHP","PHP","Так / Да","Python","Онлайн-курси // Онлайн-курсы",4,4,28,"Так /  Да","Не пам'ятаю /  Не помню","4","4",28
"135","1/2/2019 10:27:27","C#","Так/Да","PHP","","JavaScript","Go","JavaScript, PHP","Ні / Нет","none","Книги та документацію // Книги и документацию",2,2,34,"Так /  Да","Ні / Нет","2","2",34
