Timestamp,FirstLanguage,MainLanguage,NowLanguage,Main2,AdditionalLanguages1,NextLanguage,PetProjectsLanguages,Learn,LearnLanguage,LearnWay,ExperienceInProgrammingYears,ExperienceInLanguageYears,AgeYears,InUA,InPrev
1/2/2019 10:14:26,Perl,Так/Да,Swift,,Objective-C,Swift,"Swift, Objective-C",Так / Да,Ruby,Онлайн-курси // Онлайн-курсы,3,3,37,Так /  Да,Не пам'ятаю /  Не помню
1/2/2019 10:14:39,Python,Ні/Нет,JavaScript,,"C#, TypeScript, T-SQL",JavaScript,"JavaScript, C#",Ні / Нет,,,1,1,24,Так /  Да,Так  / Да
1/2/2019 10:14:41,Pascal/Delphi,Так/Да,Python,,,Python,"JavaScript, Python",Так / Да,Common Lisp,Книги та документацію // Книги и документацию,3,1,27,Так /  Да,Не пам'ятаю /  Не помню
1/2/2019 10:14:45,Fortran,Так/Да,C#,,"TypeScript, T-SQL",C#,"C#, C++, TypeScript, T-SQL",Так / Да,Kotlin,Онлайн-курси // Онлайн-курсы,20,15,49,Так /  Да,Так  / Да
1/2/2019 10:14:56,Perl,Так/Да,Java,,"Kotlin, Groovy",Java,Java,Так / Да,Kotlin,Книги та документацію // Книги и документацию,8,6,35,Так /  Да,Так  / Да
1/2/2019 10:15:09,C,Так/Да,JavaScript,,"Unix Shell, Java, Swift, TypeScript, Objective-C, Kotlin",JavaScript,,Ні / Нет,,Онлайн-курси // Онлайн-курсы,2,2,26,Так /  Да,Не пам'ятаю /  Не помню
1/2/2019 10:15:22,JavaScript,Так/Да,PHP,,JavaScript,JavaScript,JavaScript,Так / Да,Python,Офлайн-курси // Офлайн-курсы,2,2,24,Так /  Да,Так  / Да
1/2/2019 10:15:27,C,Так/Да,Java,,"JavaScript, C#, Scala",C#,"Java, C#, Swift, Objective-C",Ні / Нет,,,5,3,31,Ні / Нет,Не пам'ятаю /  Не помню
1/2/2019 10:15:32,JavaScript,Так/Да,JavaScript,,,Python,,Ні / Нет,,Онлайн-курси // Онлайн-курсы,2,1,27,Так /  Да,Ні / Нет
1/2/2019 10:15:37,JavaScript,Так/Да,Python,,Python,Java,,Ні / Нет,,Онлайн-курси // Онлайн-курсы,4,2,33,Так /  Да,Не пам'ятаю /  Не помню
1/2/2019 10:15:39,Python,Так/Да,C#,,"PHP, Python, C++",C#,"JavaScript, PHP",Ні / Нет,,Онлайн-курси // Онлайн-курсы,4,2,33,Ні / Нет,Ні / Нет
1/2/2019 10:15:49,C,Так/Да,C++,,"Unix Shell, Python, C++, C",C++,"PHP, Python, C++",Ні / Нет,Python,Книги та документацію // Книги и документацию,3,3,23,Так /  Да,Ні / Нет
1/2/2019 10:15:50,JavaScript,Так/Да,JavaScript,,Java,JavaScript,JavaScript,Так / Да,Python,Книги та документацію // Книги и документацию,1,1,22,Так /  Да,Ні / Нет
1/2/2019 10:15:50,C++,Так/Да,Java,,"Unix Shell, Python, PL-SQL",Java,"Java, C#",Так / Да,Scala,Книги та документацію // Книги и документацию,2,3,19,Так /  Да,Не пам'ятаю /  Не помню
1/2/2019 10:16:21,C++,Так/Да,Java,,"JavaScript, Unix Shell, Python",Java,"Java, JavaScript, Go",Так / Да,JavaScript,Книги та документацію // Книги и документацию,11,8,33,Так /  Да,Так  / Да
1/2/2019 10:16:26,Pascal/Delphi,Ні/Нет,,"JavaScript, PHP",,PHP,,Так / Да,Python,Книги та документацію // Книги и документацию,3,3,23,Так /  Да,Не пам'ятаю /  Не помню
1/2/2019 10:16:28,Pascal/Delphi,Так/Да,C#,,"JavaScript, T-SQL",C#,,Ні / Нет,,Книги та документацію // Книги и документацию,3,3,23,Так /  Да,Не пам'ятаю /  Не помню
1/2/2019 10:16:53,R,Так/Да,R,,T-SQL,R,"T-SQL, R",Так / Да,Go,Онлайн-курси // Онлайн-курсы,2,3,26,Так /  Да,Ні / Нет
1/2/2019 10:17:00,JavaScript,Так/Да,PHP,,JavaScript,PHP,,Ні / Нет,,Онлайн-курси // Онлайн-курсы,4,3,28,Так /  Да,Ні / Нет
1/2/2019 10:17:18,Pascal/Delphi,Ні/Нет,,"Java, Kotlin",,Kotlin,Kotlin,Так / Да,Dart,Книги та документацію // Книги и документацию,4,4,23,Так /  Да,Не пам'ятаю /  Не помню
1/2/2019 10:17:38,Basic,Так/Да,Pascal/Delphi,,"JavaScript, C#, PHP, Python, T-SQL",Pascal/Delphi,Python,Так / Да,Kotlin,Офлайн-курси // Офлайн-курсы,10,10,36,Так /  Да,Так  / Да
1/2/2019 10:17:52,JavaScript,Так/Да,TypeScript,,JavaScript,TypeScript,,Ні / Нет,,Онлайн-курси // Онлайн-курсы,2.5,2.5,29,Так /  Да,Ні / Нет
1/2/2019 10:17:54,Basic,Ні/Нет,,"Python, C++, C, Perl","Unix Shell, PHP, Go",C++,"C++, C, Perl",Так / Да,Cuda,Онлайн-курси // Онлайн-курсы,16,8,36,Так /  Да,Так  / Да
1/2/2019 10:18:04,C,Так/Да,Go,,"JavaScript, Unix Shell, Java",Go,"JavaScript, PHP, Go, C",Ні / Нет,,Онлайн-курси // Онлайн-курсы,1,0.5,27,Так /  Да,Ні / Нет
1/2/2019 10:18:04,C,Так/Да,C,,"Python, C++",C++,C,Так / Да,C++,Офлайн-курси // Офлайн-курсы,1,2,21,Так /  Да,Ні / Нет
1/2/2019 10:18:08,Pascal/Delphi,Так/Да,C#,,"JavaScript, PL-SQL, T-SQL",C#,,Так / Да,Go,Книги та документацію // Книги и документацию,12,12,31,Так /  Да,Не пам'ятаю /  Не помню
1/2/2019 10:18:14,Pascal/Delphi,Так/Да,Go,,"JavaScript, Unix Shell, Python",Go,"JavaScript, Python, Go",Так / Да,Ruby,Книги та документацію // Книги и документацию,2,1,20,Так /  Да,Не пам'ятаю /  Не помню
1/2/2019 10:18:16,PHP,Так/Да,PHP,,"JavaScript, PHP, C++",Python,"JavaScript, PHP, C++",Так / Да,Python,Книги та документацію // Книги и документацию,4,3,18,Так /  Да,Ні / Нет
1/2/2019 10:18:18,Pascal/Delphi,Так/Да,Java,,"Unix Shell, Ruby, Scala",Java,Java,Так / Да,Kotlin,Онлайн-курси // Онлайн-курсы,7,4,28,Ні / Нет,Так  / Да
1/2/2019 10:18:35,ASM,Ні/Нет,,"C++, Go, TypeScript, Scala","Java, Scala",Scala,"Java, C++, Scala, C, R",Так / Да,Dart,Книги та документацію // Книги и документацию,25,11,45,Так /  Да,Так  / Да
1/2/2019 10:18:44,Basic,Так/Да,Java,,JavaScript,Java,Java,Так / Да,JavaScript,Книги та документацію // Книги и документацию,3,3,29,Так /  Да,Так  / Да
1/2/2019 10:18:59,C,Так/Да,Java,,,Java,,Ні / Нет,Python,Книги та документацію // Книги и документацию,,,,,
1/2/2019 10:19:10,PHP,Так/Да,Kotlin,,Java,Kotlin,,Ні / Нет,"Dart под Flutter, если оно заведётся.",Книги та документацію // Книги и документацию,3,0.5,30,Так /  Да,Так  / Да
1/2/2019 10:19:12,Java,Так/Да,Java,,Unix Shell,Java,"Java, JavaScript, Kotlin",Так / Да,Kotlin,Книги та документацію // Книги и документацию,3,3,27,Так /  Да,Так  / Да
1/2/2019 10:19:16,Pascal/Delphi,Так/Да,Ruby,,"JavaScript, Unix Shell",Ruby,"JavaScript, Ruby",Так / Да,Swift,Онлайн-курси // Онлайн-курсы,2,2,29,Так /  Да,Так  / Да
1/2/2019 10:19:20,Java,Так/Да,Java,,"JavaScript, C#, C",Java,"JavaScript, C++, TypeScript, C",Так / Да,JavaScript,Офлайн-курси // Офлайн-курсы,1,1,28,Так /  Да,Ні / Нет
1/2/2019 10:19:20,JavaScript,Ні/Нет,,"Java, JavaScript, Python, TypeScript",lua,JavaScript,JavaScript,Так / Да,C,Офлайн-курси // Офлайн-курсы,4,4,26,Так /  Да,Так  / Да
1/2/2019 10:19:25,PHP,Так/Да,PHP,,"JavaScript, Java",Go,PHP,Так / Да,Go,Книги та документацію // Книги и документацию,9,8,28,Так /  Да,Ні / Нет
1/2/2019 10:19:44,Pascal/Delphi,Так/Да,JavaScript,,"PHP, TypeScript",JavaScript,JavaScript,Ні / Нет,,Книги та документацію // Книги и документацию,14,5,30,Так /  Да,Ні / Нет
1/2/2019 10:19:47,PHP,Так/Да,PHP,,JavaScript,PHP,PHP,Так / Да,JavaScript,Онлайн-курси // Онлайн-курсы,2,2,32,Так /  Да,Ні / Нет
1/2/2019 10:19:50,Basic,Так/Да,PHP,,JavaScript,PHP,PHP,Ні / Нет,,Онлайн-курси // Онлайн-курсы,13,13,34,Так /  Да,Не пам'ятаю /  Не помню
1/2/2019 10:19:52,С#,Так/Да,Python,,Unix Shell,Python,,Так / Да,PHP,Книги та документацію // Книги и документацию,0,4,27,Ні / Нет,Не пам'ятаю /  Не помню
1/2/2019 10:19:58,Pascal/Delphi,Ні/Нет,,"Java, JavaScript",,JavaScript,,Так / Да,Swift,Книги та документацію // Книги и документацию,,,,Так /  Да,Ні / Нет
1/2/2019 10:20:02,C,Так/Да,C++,,Python,Python,Python,Ні / Нет,,,2,2,23,Так /  Да,Ні / Нет
1/2/2019 10:20:08,Pascal/Delphi,Так/Да,JavaScript,,"JavaScript, TypeScript",Java,"Java, JavaScript, Python, TypeScript",Так / Да,Go,Книги та документацію // Книги и документацию,7,4,33,Так /  Да,Не пам'ятаю /  Не помню
1/2/2019 10:20:12,C,Так/Да,Python,,"JavaScript, Unix Shell, TypeScript",JavaScript,"JavaScript, Python",,,,2,2,22,Так /  Да,Так  / Да
1/2/2019 10:20:14,Pascal/Delphi,Так/Да,C#,,"1C, T-SQL",C#,"JavaScript, Swift",Так / Да,Swift,Книги та документацію // Книги и документацию,10,4,35,Так /  Да,Не пам'ятаю /  Не помню
1/2/2019 10:20:16,С#,Так/Да,C#,,"Python, F#",C#,C#,Так / Да,F#,Книги та документацію // Книги и документацию,4,4,35,Так /  Да,Ні / Нет
1/2/2019 10:20:19,Basic,Так/Да,PHP,,"JavaScript, Unix Shell",PHP,Swift,Так / Да,Go,,7,5,36,Так /  Да,Не пам'ятаю /  Не помню
1/2/2019 10:20:29,Basic,Так/Да,C#,,"JavaScript, T-SQL",C#,"JavaScript, C#",Так / Да,Python,Онлайн-курси // Онлайн-курсы,11,9,32,Так /  Да,Не пам'ятаю /  Не помню
1/2/2019 10:20:32,С#,Так/Да,C#,,"JavaScript, Java",C#,,Так / Да,JavaScript,Онлайн-курси // Онлайн-курсы,3,2,31,Так /  Да,Так  / Да
1/2/2019 10:20:42,Java,Так/Да,Java,,"JavaScript, Kotlin",Java,"Java, JavaScript, Kotlin",Так / Да,Kotlin,Онлайн-курси // Онлайн-курсы,6,6,28,Так /  Да,Так  / Да
1/2/2019 10:20:43,basic,Так/Да,C#,,"JavaScript, T-SQL",C#,"C#, TypeScript, T-SQL",Ні / Нет,,Книги та документацію // Книги и документацию,17,15,43,Так /  Да,Так  / Да
1/2/2019 10:20:43,Pascal/Delphi,Так/Да,Swift,,"JavaScript, Java, PHP, TypeScript, Objective-C",Swift,"JavaScript, Swift",Ні / Нет,,Книги та документацію // Книги и документацию,8,4,28,Так /  Да,Ні / Нет
1/2/2019 10:21:00,Pascal/Delphi,Так/Да,Java,,JavaScript,Java,"Java, JavaScript",Ні / Нет,,,9,9,30,Так /  Да,Так  / Да
1/2/2019 10:21:08,Basic,Так/Да,Python,,Go,Python,,Так / Да,Rust,Книги та документацію // Книги и документацию,6,5,34,Так /  Да,Не пам'ятаю /  Не помню
1/2/2019 10:21:17,Pascal/Delphi,Так/Да,C/AL,,T-SQL,C#,,Так / Да,AL,Книги та документацію // Книги и документацию,6,6,34,Так /  Да,Ні / Нет
1/2/2019 10:21:21,Basic,Так/Да,JavaScript,,"JavaScript, Unix Shell, C#, Swift, Go, Kotlin, T-SQL",JavaScript,"JavaScript, Go",Так / Да,Go,Онлайн-курси // Онлайн-курсы,10,7,32,Так /  Да,Ні / Нет
1/2/2019 10:21:30,Basic,Так/Да,Scala,,JavaScript,Scala,,Так / Да,JavaScript,Книги та документацію // Книги и документацию,20,5,40,Так /  Да,Так  / Да
1/2/2019 10:21:38,С#,Так/Да,C#,,"JavaScript, TypeScript, T-SQL",C#,C#,Так / Да,F#,Книги та документацію // Книги и документацию,3,3,30,Так /  Да,Ні / Нет
1/2/2019 10:21:54,JavaScript,Так/Да,JavaScript,,,TypeScript,,Ні / Нет,,Книги та документацію // Книги и документацию,6,6,30,Ні / Нет,Не пам'ятаю /  Не помню
1/2/2019 10:22:13,Basic,Так/Да,C++,,"C#, Python, Swift",C++,"C++, Swift",Так / Да,Python,Книги та документацію // Книги и документацию,11,8,31,Так /  Да,Ні / Нет
1/2/2019 10:22:21,Basic,Так/Да,PHP,,"JavaScript, Unix Shell, Python, Go, TypeScript",PHP,"Java, JavaScript, PHP, Python, Go, TypeScript, C",Так / Да,Swift,Книги та документацію // Книги и документацию,8,8,37,Так /  Да,Так  / Да
1/2/2019 10:22:22,С#,Так/Да,JavaScript,,,JavaScript,,Ні / Нет,,Книги та документацію // Книги и документацию,3,3,21,Так /  Да,Ні / Нет
1/2/2019 10:22:25,Basic,Так/Да,C,,"Unix Shell, Java, Python, C++, Go",Go,,Ні / Нет,,Книги та документацію // Книги и документацию,12,7,34,Так /  Да,Так  / Да
1/2/2019 10:22:28,Pascal/Delphi,Так/Да,Kotlin,,Java,Kotlin,"Java, Kotlin",Ні / Нет,,Книги та документацію // Книги и документацию,9,2,30,Ні / Нет,Не пам'ятаю /  Не помню
1/2/2019 10:22:39,Pascal/Delphi,Так/Да,JavaScript,,"JavaScript, Unix Shell, Java",JavaScript,,Так / Да,Python,Онлайн-курси // Онлайн-курсы,,,,Ні / Нет,Не пам'ятаю /  Не помню
1/2/2019 10:22:44,Pascal/Delphi,Так/Да,C++,,Lisp,C++,"Python, C++",Так / Да,Python,Книги та документацію // Книги и документацию,2,2,23,Так /  Да,Так  / Да
1/2/2019 10:22:45,Basic,Так/Да,C#,,"JavaScript, TypeScript",C#,TypeScript,Так / Да,TypeScript,Онлайн-курси // Онлайн-курсы,9,8,33,Так /  Да,Ні / Нет
1/2/2019 10:22:52,Pascal/Delphi,Так/Да,Ruby,,"JavaScript, Crystal",Ruby,"Ruby, Crystal",Так / Да,Go,Книги та документацію // Книги и документацию,5,5,31,Так /  Да,Так  / Да
1/2/2019 10:22:53,C++,Так/Да,T-SQL,,R,Python,,Так / Да,Python,Онлайн-курси // Онлайн-курсы,0.5,3,31,Так /  Да,Ні / Нет
1/2/2019 10:23:12,Basic,Так/Да,C#,,T-SQL,C#,C#,Так / Да,Python,Онлайн-курси // Онлайн-курсы,23,10,42,Так /  Да,Не пам'ятаю /  Не помню
1/2/2019 10:23:13,PHP,Так/Да,JavaScript,,,TypeScript,JavaScript,Так / Да,TypeScript,Книги та документацію // Книги и документацию,7,5,26,Так /  Да,Так  / Да
1/2/2019 10:23:32,C,Так/Да,PHP,,JavaScript,PHP,,Так / Да,Go,Книги та документацію // Книги и документацию,3,3,34,Так /  Да,Не пам'ятаю /  Не помню
1/2/2019 10:23:40,Basic,Так/Да,C++,,"C#, T-SQL",C#,,Ні / Нет,,Книги та документацію // Книги и документацию,20,19,37,Ні / Нет,Ні / Нет
1/2/2019 10:23:43,Basic,Так/Да,PHP,,"JavaScript, TypeScript",PHP,"PHP, Go, TypeScript",Так / Да,Go,Книги та документацію // Книги и документацию,15,12,37,Так /  Да,Ні / Нет
1/2/2019 10:23:45,Pascal/Delphi,Так/Да,PHP,,"JavaScript, Unix Shell",JavaScript,"JavaScript, PHP",Ні / Нет,,Онлайн-курси // Онлайн-курсы,8,8,29,Так /  Да,Так  / Да
1/2/2019 10:24:01,PHP,Так/Да,Ruby,,"JavaScript, Go, T-SQL",Go,"Ruby, Go",Так / Да,Go,Книги та документацію // Книги и документацию,5,3,26,Ні / Нет,Ні / Нет
1/2/2019 10:24:04,Java,Так/Да,Java,,JavaScript,Java,Java,Ні / Нет,,Книги та документацію // Книги и документацию,1,2,22,Так /  Да,Не пам'ятаю /  Не помню
1/2/2019 10:24:06,Basic,Так/Да,PHP,,JavaScript,Go,,Так / Да,Ruby,Книги та документацію // Книги и документацию,4,3,32,Так /  Да,Так  / Да
1/2/2019 10:24:12,Pascal/Delphi,Так/Да,Java,,"JavaScript, TypeScript",Java,"Java, JavaScript, TypeScript",Так / Да,Scala,Книги та документацію // Книги и документацию,15,10,36,Так /  Да,Не пам'ятаю /  Не помню
1/2/2019 10:24:21,PHP,Так/Да,Ruby,,"JavaScript, Unix Shell, Java",Ruby,"Java, JavaScript, Ruby",Так / Да,Go,Онлайн-курси // Онлайн-курсы,7,4,34,Так /  Да,Так  / Да
1/2/2019 10:24:24,Objective-C,Так/Да,Java,,"C++, Swift, C",Swift,Swift,Ні / Нет,,Онлайн-курси // Онлайн-курсы,8,1,30,Так /  Да,Ні / Нет
1/2/2019 10:24:28,Java,Так/Да,Python,,Python,Java,Java,Так / Да,Python,Книги та документацію // Книги и документацию,,,,Так /  Да,Так  / Да
1/2/2019 10:24:35,C++,Так/Да,Java,,"JavaScript, PL-SQL",Java,"Java, PL-SQL",Ні / Нет,,Книги та документацію // Книги и документацию,1,2,21,Так /  Да,Ні / Нет
1/2/2019 10:24:50,Pascal/Delphi,Так/Да,Java,,"Kotlin, Groovy",Kotlin,"Java, JavaScript, Kotlin",Так / Да,Go,Онлайн-курси // Онлайн-курсы,2,2,24,Ні / Нет,Не пам'ятаю /  Не помню
1/2/2019 10:25:08,Basic,Так/Да,Java,,"JavaScript, Unix Shell, Groovy",Java,,Ні / Нет,,Книги та документацію // Книги и документацию,7,7,48,Так /  Да,Ні / Нет
1/2/2019 10:25:11,C++,Так/Да,Rust,,"Python, C++",Rust,,Ні / Нет,,,1,0.2,20,Так /  Да,Ні / Нет
1/2/2019 10:25:21,Bash,Ні/Нет,,"PL-SQL, Bash","JavaScript, Unix Shell, Python",Scala,Python,Так / Да,Scala,Онлайн-курси // Онлайн-курсы,10,5,39,Ні / Нет,Ні / Нет
1/2/2019 10:25:30,Java,Так/Да,Java,,Java,Java,Java,Ні / Нет,,Онлайн-курси // Онлайн-курсы,2,1,33,Так /  Да,Ні / Нет
1/2/2019 10:25:37,C,Так/Да,PHP,,JavaScript,Go,"JavaScript, PHP",Так / Да,JavaScript,Книги та документацію // Книги и документацию,6,6,29,Так /  Да,Не пам'ятаю /  Не помню
1/2/2019 10:25:38,Ruby,Так/Да,JavaScript,,,JavaScript,JavaScript,Ні / Нет,,Книги та документацію // Книги и документацию,2,2,23,Так /  Да,Не пам'ятаю /  Не помню
1/2/2019 10:25:50,Pascal/Delphi,Так/Да,C#,,"JavaScript, Java, C#, T-SQL",C#,"Java, C#, C++, Objective-C, T-SQL",Ні / Нет,,Книги та документацію // Книги и документацию,12,8,34,Так /  Да,Ні / Нет
1/2/2019 10:25:54,Basic,Так/Да,PHP,,JavaScript,PHP,"JavaScript, PHP",Так / Да,Go,Офлайн-курси // Офлайн-курсы,10,8,30,Так /  Да,Так  / Да
1/2/2019 10:26:23,Pascal/Delphi,Так/Да,Perl,,JavaScript,Java,,Так / Да,Java,Книги та документацію // Книги и документацию,10,8,31,Так /  Да,Ні / Нет
1/2/2019 10:26:28,Pascal/Delphi,Так/Да,PHP,,"JavaScript, PHP",Java,PHP,Ні / Нет,,Книги та документацію // Книги и документацию,1,1,27,Так /  Да,Ні / Нет
1/2/2019 10:26:49,Pascal/Delphi,Так/Да,C++,,,C++,C++,Ні / Нет,,,15,14,32,Так /  Да,Не пам'ятаю /  Не помню
1/2/2019 10:26:58,C,Так/Да,C#,,"JavaScript, TypeScript, F#",TypeScript,"JavaScript, C#, TypeScript, F#",Ні / Нет,,Онлайн-курси // Онлайн-курсы,5,5,25,Так /  Да,Так  / Да
1/2/2019 10:26:59,PHP,Так/Да,Ruby,,JavaScript,Ruby,Ruby,Так / Да,elixir,Онлайн-курси // Онлайн-курсы,8,6,31,Так /  Да,Не пам'ятаю /  Не помню
1/2/2019 10:27:14,С#,Так/Да,C#,,"TypeScript, Pascal/Delphi",C#,C#,Так / Да,TypeScript,Онлайн-курси // Онлайн-курсы,7,7,29,Так /  Да,Так  / Да
1/2/2019 10:27:22,Pascal/Delphi,Так/Да,PHP,,"JavaScript, C#, TypeScript, T-SQL",PHP,PHP,Так / Да,Python,Онлайн-курси // Онлайн-курсы,4,4,28,Так /  Да,Не пам'ятаю /  Не помню
1/2/2019 10:27:27,С#,Так/Да,PHP,,JavaScript,Go,"JavaScript, PHP",Ні / Нет,,Книги та документацію // Книги и документацию,2,2,34,Так /  Да,Ні / Нет
1/2/2019 10:27:33,Pascal/Delphi,Так/Да,TypeScript,,"JavaScript, TypeScript",TypeScript,JavaScript,Ні / Нет,,,11,4,32,Так /  Да,Так  / Да
1/2/2019 10:27:33,Fortran,Так/Да,Python,,C++,Python,Python,Ні / Нет,,,25,3,50,Так /  Да,Ні / Нет
